G3	G4	G10
0.4691712	0.1890989	0.8475737
0.4152900	0.1451213	0.7035838
0.4069705	0.1373971	0.7197957
0.4593989	0.1472713	0.6492241
0.4844348	0.2335710	0.7122642
0.4653539	0.1183029	0.6754481
0.5134732	0.1580562	0.6429729
0.4080002	0.1617920	0.6764402
0.4715221	0.1412478	0.7099150
0.4464645	0.1384306	0.6885187
0.4846202	0.1350019	0.6349981
0.5237971	0.1784237	0.6284684
0.4174972	0.2526062	0.6422788
0.3536347	0.2106213	0.6719595
0.3573520	0.1355583	0.5895339
0.3691166	0.2211255	0.6439098
0.4359323	0.2011236	0.7348274
0.3896704	0.1955068	0.6011675
0.4023390	0.1958765	0.5928966
0.2946361	0.1764362	0.6317097
0.3433057	0.1656112	0.6294061
0.3065653	0.1746098	0.6361201
0.3309951	0.1835255	0.4432509
0.2846675	0.2421079	0.6026195
0.2945801	0.2463815	0.5642434
0.3977292	0.3202454	0.5799551
0.3700411	0.2421849	0.5883059
0.3193921	0.3321564	0.5471893
0.2804396	0.2806610	0.5024592
0.2601014	0.2466326	0.5400340
0.3284807	0.2715738	0.4977157
0.2645612	0.3648306	0.4688295
0.2437556	0.3974128	0.5688995
0.2659963	0.2430387	0.5277650
0.1838640	0.2888311	0.5163734
0.3004037	0.3829290	0.4493625
0.2522599	0.5194937	0.5009344
0.2177032	0.4145402	0.4723411
0.2388341	0.4783862	0.4369007
0.1945501	0.4172115	0.4885525
0.2019332	0.4401114	0.4972548
0.2255396	0.4412421	0.4110897
0.1415534	0.4992638	0.4311637
0.1943879	0.5136465	0.4455102
0.1856645	0.4667966	0.3587589
0.1174013	0.6146002	0.3751086
0.1760978	0.5946161	0.4716922
0.1550480	0.5791998	0.3949247
0.1530605	0.5828963	0.3729086
0.1422317	0.5957978	0.3240055
0.0983753	0.5440847	0.3446415
0.1070343	0.6631880	0.3273365
0.1164335	0.6399746	0.3959365
0.1145336	0.6837519	0.2811220
0.1401437	0.6153498	0.3344652
0.1186065	0.8920720	0.3300401
0.0938115	0.6135990	0.2974554
0.0810651	0.8145612	0.2647138
0.0822651	0.6513878	0.2893072
0.0748179	0.7276729	0.2573386
0.0834406	0.7386264	0.3047599
0.0883431	0.7643726	0.2708060
0.0549769	0.6707149	0.2524871
0.0891224	0.8175651	0.2704894
0.0512436	0.7795582	0.3030020
0.0845541	0.7183421	0.2607437
0.0517722	0.7153860	0.2312502
0.0785031	0.7361533	0.2358287
0.0729181	0.7502708	0.2110626
0.1045902	0.8028875	0.2509421
0.0449689	0.7526318	0.2247632
0.0443703	0.7274065	0.2936801
0.0476634	0.6052648	0.1957294
0.0635936	0.7875882	0.1576357
0.0507552	0.6722787	0.2301114
0.0337692	0.7617366	0.1906824
0.0423050	0.7047690	0.1802095
0.0746960	0.6286770	0.1577334
0.0215839	0.7426025	0.1244623
0.0705112	0.7209925	0.1144957
0.0275772	1.0000000	0.1427884
0.0549377	0.6432610	0.1518981
0.0392255	0.8511032	0.1398824
0.0512908	0.8265616	0.1267356
0.0386571	0.8980587	0.1072247
0.0264178	0.7205261	0.0906626
0.0246389	0.7408352	0.0771882
0.0275886	0.7275805	0.0605351
0.0377481	0.8264601	0.0720557
0.0294351	0.7744608	0.0685778
0.0275386	0.9247263	0.1021680
0.0395506	0.6805922	0.0666736
0.0374586	0.7540673	0.0435197
0.0628157	0.6823033	0.0335220
0.0290255	0.6035448	0.0363521
0.0198022	0.7353647	0.0427533
0.0373553	0.6873220	0.0236382
0.0254422	0.7948423	0.0343377
0.0394746	0.8353017	0.0079265
0.0490563	0.6992674	0.0163831
0.0256728	0.7262793	0.0000000
