G3	G4	G10
0.6608044	0.2061546	1.0000000
0.6531071	0.2079094	0.9900002
0.6451893	0.2098554	0.9800001
0.6371521	0.2119029	0.9700002
0.6289082	0.2141623	0.9600000
0.6205520	0.2165357	0.9500001
0.6120445	0.2190837	0.9400001
0.6033496	0.2218796	0.9300000
0.5945384	0.2248377	0.9200000
0.5855811	0.2280229	0.9100000
0.5764805	0.2314556	0.9000000
0.5672396	0.2351583	0.8900000
0.5578356	0.2392123	0.8800000
0.5483221	0.2435405	0.8700000
0.5386799	0.2482204	0.8600000
0.5289139	0.2532842	0.8500000
0.5190294	0.2587665	0.8400000
0.5090323	0.2647049	0.8300000
0.4989290	0.2711402	0.8200000
0.4887096	0.2781764	0.8100000
0.4784139	0.2857477	0.8000000
0.4680341	0.2939567	0.7900000
0.4575788	0.3028557	0.7800000
0.4470567	0.3124991	0.7700000
0.4364774	0.3229433	0.7600000
0.4258508	0.3342452	0.7500000
0.4151873	0.3464620	0.7400000
0.4044975	0.3596487	0.7300000
0.3937929	0.3738574	0.7200000
0.3830848	0.3891344	0.7100000
0.3723752	0.4056030	0.7000000
0.3616963	0.4231297	0.6900000
0.3510506	0.4418044	0.6800000
0.3404510	0.4616228	0.6700000
0.3299103	0.4825598	0.6600000
0.3194413	0.5045661	0.6500000
0.3090573	0.5275655	0.6400000
0.2987711	0.5514535	0.6300000
0.2885958	0.5760958	0.6200000
0.2785441	0.6013297	0.6100000
0.2686286	0.6269667	0.6000000
0.2588618	0.6527962	0.5900000
0.2492555	0.6785924	0.5800000
0.2398216	0.7041213	0.5700000
0.2305712	0.7291496	0.5600000
0.2215151	0.7534533	0.5500000
0.2126633	0.7768267	0.5400000
0.2040255	0.7990894	0.5300000
0.1956106	0.8200927	0.5200000
0.1874392	0.8395642	0.5100000
0.1794937	0.8577546	0.5000000
0.1717933	0.8744566	0.4900000
0.1643441	0.8896644	0.4800000
0.1571510	0.9034024	0.4700000
0.1502183	0.9157207	0.4600000
0.1435493	0.9266895	0.4500000
0.1371467	0.9363942	0.4400000
0.1310121	0.9449299	0.4300000
0.1251463	0.9523972	0.4200000
0.1195493	0.9588981	0.4100000
0.1142203	0.9645333	0.4000000
0.1091577	0.9693990	0.3900000
0.1043592	0.9735863	0.3800000
0.0998216	0.9771793	0.3700000
0.0955411	0.9802545	0.3600000
0.0915132	0.9828813	0.3500000
0.0877328	0.9851211	0.3400000
0.0841943	0.9870287	0.3300000
0.0808914	0.9886515	0.3200000
0.0778175	0.9900313	0.3100000
0.0749820	0.9911608	0.3000000
0.0723430	0.9921623	0.2900000
0.0699104	0.9930135	0.2800000
0.0676759	0.9937368	0.2700000
0.0656312	0.9943517	0.2600000
0.0637675	0.9948745	0.2500000
0.0620761	0.9953190	0.2400000
0.0605480	0.9956970	0.2300000
0.0591742	0.9960181	0.2200000
0.0579457	0.9962909	0.2100000
0.0568534	0.9965224	0.2000000
0.0558882	0.9967184	0.1900000
0.0550413	0.9968840	0.1800000
0.0543037	0.9970234	0.1700000
0.0536667	0.9971404	0.1600000
0.0531219	0.9972379	0.1500000
0.0526607	0.9973187	0.1400000
0.0522752	0.9973850	0.1300000
0.0519573	0.9974389	0.1200000
0.0516993	0.9974821	0.1100000
0.0514941	0.9975162	0.1000000
0.0513344	0.9975426	0.0900000
0.0512137	0.9975625	0.0800000
0.0511254	0.9975770	0.0700000
0.0510633	0.9975911	0.0600000
0.0510229	0.9975977	0.0500000
0.0509985	0.9976016	0.0400000
0.0509854	0.9976037	0.0300000
0.0509797	0.9976055	0.0200000
0.0509781	0.9976057	0.0100000
0.0509779	0.9976059	0.0000000
