G3	G4	G10
0.6608042	0.2061616	1.0000000
0.6531474	0.2078684	0.9900261
0.6452215	0.2098158	0.9800193
0.6372014	0.2118397	0.9700290
0.6289339	0.2141236	0.9600143
0.6205847	0.2164840	0.9500179
0.6120845	0.2190172	0.9400214
0.6033676	0.2218453	0.9300092
0.5945592	0.2247956	0.9200105
0.5856050	0.2279719	0.9100119
0.5765074	0.2313947	0.9000132
0.5672696	0.2350861	0.8900145
0.5578480	0.2391782	0.8800058
0.5483358	0.2435006	0.8700063
0.5386948	0.2481741	0.8600068
0.5289301	0.2532305	0.8500073
0.5190469	0.2587045	0.8400078
0.5090511	0.2646337	0.8300082
0.4989490	0.2710586	0.8200087
0.4887176	0.2781397	0.8100034
0.4784223	0.2857059	0.8000036
0.4680431	0.2939092	0.7900038
0.4575882	0.3028017	0.7800039
0.4470666	0.3124380	0.7700041
0.4364878	0.3228742	0.7600043
0.4258617	0.3341675	0.7500045
0.4151986	0.3463746	0.7400046
0.4045093	0.3595509	0.7300048
0.3938051	0.3737482	0.7200050
0.3830975	0.3890129	0.7100052
0.3723801	0.4055511	0.7000020
0.3617013	0.4230724	0.6900020
0.3510558	0.4417415	0.6800021
0.3404563	0.4615540	0.6700022
0.3299157	0.4824851	0.6600022
0.3194469	0.5044854	0.6500023
0.3090629	0.5274790	0.6400024
0.2987769	0.5513613	0.6300024
0.2886016	0.5759983	0.6200025
0.2785500	0.6012275	0.6100026
0.2686346	0.6268604	0.6000026
0.2588678	0.6526867	0.5900027
0.2492616	0.6784806	0.5800028
0.2398277	0.7040083	0.5700028
0.2305774	0.7290364	0.5600029
0.2215212	0.7533411	0.5500030
0.2126694	0.7767165	0.5400030
0.2040316	0.7989823	0.5300031
0.1956166	0.8199896	0.5200032
0.1874554	0.8393041	0.5100088
0.1795097	0.8575081	0.5000089
0.1718092	0.8742251	0.4900091
0.1643597	0.8894487	0.4800093
0.1571664	0.9032029	0.4700095
0.1502334	0.9155374	0.4600096
0.1435641	0.9265223	0.4500098
0.1371612	0.9362424	0.4400100
0.1310262	0.9447929	0.4300102
0.1251600	0.9522742	0.4200104
0.1195626	0.9587881	0.4100105
0.1142332	0.9644352	0.4000107
0.1091702	0.9693119	0.3900109
0.1043712	0.9735090	0.3800111
0.0998331	0.9771108	0.3700113
0.0955521	0.9801940	0.3600114
0.0915237	0.9828278	0.3500116
0.0877429	0.9850740	0.3400118
0.0842038	0.9869870	0.3300120
0.0809005	0.9886147	0.3200121
0.0778260	0.9899988	0.3100123
0.0750039	0.9910740	0.3000340
0.0723636	0.9920845	0.2900344
0.0699296	0.9929435	0.2800349
0.0676939	0.9936738	0.2700354
0.0656478	0.9942948	0.2600359
0.0637829	0.9948229	0.2500364
0.0620903	0.9952721	0.2400369
0.0605611	0.9956541	0.2300374
0.0591862	0.9959789	0.2200378
0.0579566	0.9962549	0.2100383
0.0568632	0.9964892	0.2000388
0.0558970	0.9966878	0.1900393
0.0550491	0.9968556	0.1800398
0.0543107	0.9969971	0.1700403
0.0536729	0.9971158	0.1600408
0.0531273	0.9972149	0.1500412
0.0526654	0.9972971	0.1400417
0.0522792	0.9973648	0.1300422
0.0519607	0.9974198	0.1200427
0.0517022	0.9974641	0.1100432
0.0514965	0.9974991	0.1000437
0.0513364	0.9975263	0.0900441
0.0512153	0.9975470	0.0800446
0.0511268	0.9975622	0.0700451
0.0510636	0.9975876	0.0600168
0.0510231	0.9975943	0.0500170
0.0509986	0.9975984	0.0400171
0.0509855	0.9976007	0.0300173
0.0509797	0.9976048	0.0200064
0.0509781	0.9976051	0.0100065
0.0509779	0.9976058	0.0000024
