G3	G4	G10
0.5198732	0.1372532	0.7659153
0.4242641	0.1653654	0.7537942
0.4060819	0.1633177	0.6642124
0.4534836	0.1235339	0.7484131
0.4652741	0.1153926	0.7906303
0.5545886	0.1866630	0.5552941
0.4973088	0.1610995	0.6776728
0.5164942	0.1415358	0.6718240
0.4119674	0.1671786	0.6370457
0.3817689	0.1495855	0.6328577
0.4006756	0.1935067	0.6666093
0.3754678	0.2087167	0.6595605
0.3846495	0.1912481	0.7510421
0.3842120	0.1306493	0.6048588
0.4440783	0.2129117	0.5965971
0.3729883	0.2020741	0.5646161
0.4472357	0.2104264	0.6097837
0.3688895	0.1742539	0.6061838
0.4040132	0.2148825	0.6166252
0.3638087	0.1965628	0.6466803
0.4679766	0.1723154	0.5920320
0.3374848	0.1902121	0.4713681
0.3590805	0.1703669	0.6415525
0.3847192	0.2329866	0.4923551
0.3015737	0.3212254	0.4707197
0.3026268	0.3010128	0.4032673
0.3116725	0.3499532	0.6309288
0.2791716	0.2764350	0.4841126
0.3126167	0.2462873	0.4694528
0.3053073	0.3056769	0.5642432
0.2202848	0.2931361	0.4880081
0.2558296	0.2691830	0.4264063
0.2898200	0.2575140	0.5288723
0.2449737	0.3447517	0.5771409
0.2756025	0.3481069	0.5409911
0.2051863	0.3474694	0.4593043
0.2595294	0.4044098	0.4884804
0.2502769	0.4137850	0.5426625
0.1916846	0.4242168	0.4609127
0.2234194	0.4126485	0.4413956
0.2308551	0.4753056	0.3938755
0.1937256	0.5028030	0.3871212
0.1676511	0.5869044	0.4945500
0.1626135	0.5983622	0.3599955
0.2017824	0.5228951	0.3927962
0.1535292	0.5556893	0.4792347
0.1231476	0.5456123	0.4107443
0.1316393	0.5011920	0.3564174
0.1416897	0.6316264	0.3997552
0.1105128	0.6641556	0.3638763
0.1254131	0.6605897	0.3844945
0.1200239	0.7623052	0.3931958
0.0800748	0.6265234	0.5247061
0.1364055	0.7622593	0.2591442
0.0948568	0.8201381	0.2726666
0.1535362	0.7367862	0.3306078
0.0857527	0.7401858	0.2752416
0.1117915	0.7614437	0.3295796
0.0867837	0.8989722	0.3046491
0.0933542	0.7368893	0.3044357
0.0927887	0.7488694	0.3543489
0.1000891	0.7558499	0.2780717
0.0964157	0.6795328	0.2661980
0.0702116	0.7503248	0.3136350
0.0830614	0.6145914	0.3322371
0.0713773	0.6949074	0.3356894
0.0380208	0.7118538	0.3363473
0.0356373	0.7975178	0.2951323
0.1186720	0.7281343	0.2754416
0.0927517	0.6874954	0.3186464
0.0506704	0.7951454	0.2524070
0.0503457	0.7739330	0.2378196
0.0583354	0.6683290	0.1646941
0.0474655	0.5819603	0.1985381
0.0480244	0.6642734	0.2236302
0.0529138	0.7052067	0.1806822
0.0729275	0.7221893	0.1955603
0.0517816	0.7333293	0.1848917
0.0813721	0.6575441	0.1963312
0.0209059	0.7546564	0.1141850
0.0230040	0.8602216	0.1828801
0.0316288	0.8500736	0.1400854
0.0542591	0.7065341	0.1834461
0.0893230	0.6831205	0.1384682
0.0548256	0.8107060	0.1211546
0.0417356	0.6591888	0.0943181
0.0250228	0.6989495	0.0806052
0.0349762	0.7564510	0.0817252
0.0491999	0.6600202	0.0866088
0.0308266	0.8890995	0.0558707
0.0616859	0.7520674	0.0851576
0.0720794	0.8273216	0.0728635
0.0582733	0.9119029	0.0694558
0.0231900	0.7277487	0.0560137
0.0320686	0.8606041	0.0423063
0.0771867	0.5703998	0.0390231
0.0516597	0.7241743	0.0384824
0.0205311	0.6871229	0.0243318
0.0272219	0.7463039	0.0122464
0.0404866	0.7551780	0.0102554
0.0502810	0.7004874	0.0000014
