G1	G2	G3	G5	G10
0.0281428	0.2297047	0.0062599	0.3052797	0.8699043
0.0590788	0.1895658	0.0080596	0.2515740	0.9956268
0.0738891	0.1898858	0.0270433	0.2024127	0.4851276
0.0314582	0.1696720	0.1854979	0.1116419	0.0688613
0.0266583	0.2357186	0.5414114	0.0153409	0.0232272
0.0208977	0.2480652	0.5089694	0.0000001	0.0210747
0.0501527	0.1597152	0.4940029	0.0000000	0.0463567
0.0308974	0.1831047	0.4512469	0.0000000	0.0326220
0.0287900	0.1321310	0.4415540	0.0000000	0.0636678
0.0371519	0.2217267	0.5069148	0.0000001	0.0301528
0.0603703	0.1304448	0.4506816	0.0000000	0.0228965
0.0000004	0.0900846	0.0022515	0.3520065	0.8412123
0.0000009	0.0949326	0.0112290	0.2414906	0.8588272
0.0000005	0.1003910	0.0527419	0.1970827	0.6282449
0.0000004	0.1069350	0.1757880	0.0980469	0.0360688
0.0000005	0.1257330	0.4438400	0.0065612	0.0346114
0.0000007	0.0782981	0.4846875	0.0000000	0.0249724
0.0000003	0.1133366	0.4003376	0.0000001	0.0440156
0.0000002	0.0657946	0.5247161	0.0000000	0.0271085
0.0000007	0.0626551	0.4188951	0.0000000	0.0311549
0.0000008	0.0685047	0.5066441	0.0000000	0.0246975
0.0000010	0.0868594	0.4261913	0.0000000	0.0220649
0.0000004	0.0902464	0.0049841	0.2940367	0.8987419
0.0000004	0.0948601	0.0155933	0.2555722	0.7108774
0.0000003	0.1010985	0.0376472	0.1846340	0.5785835
0.0000015	0.0889524	0.1340373	0.1101844	0.0503769
0.0000006	0.0709850	0.5867695	0.0160608	0.0314784
0.0000044	0.0808485	0.4799932	0.0000000	0.0287811
0.0000012	0.0552551	0.5135749	0.0000000	0.0333054
0.0000003	0.0660482	0.5446674	0.0000001	0.0254671
0.0000003	0.0537859	0.5283736	0.0000001	0.0669188
0.0000006	0.0654962	0.3652417	0.0000000	0.0468699
0.0000033	0.0851794	0.5546510	0.0000000	0.0337580
0.0000005	0.0710702	0.0050403	0.4710676	0.8385982
0.0000011	0.0846035	0.0067332	0.2180580	0.7510648
0.0000011	0.0578026	0.0282740	0.1746804	0.5148766
0.0000005	0.0607309	0.1683881	0.1018455	0.0417632
0.0000007	0.0936540	0.4237140	0.0067718	0.0200301
0.0000021	0.1052945	0.5030505	0.0000000	0.0412343
0.0000002	0.1006421	0.4370729	0.0000000	0.0404982
0.0000002	0.0796169	0.4574618	0.0000000	0.0534210
0.0000012	0.0537834	0.4148149	0.0000001	0.0228705
0.0000003	0.1031027	0.5202270	0.0000000	0.0551327
0.0000021	0.0937551	0.4698741	0.0000000	0.0335165
0.0000008	0.0587010	0.0200109	0.3827263	0.8128732
0.0000010	0.1433261	0.0237261	0.2433580	0.8261569
0.0000009	0.0819749	0.0395117	0.1771412	0.5689319
0.0000005	0.1196324	0.2085357	0.0715091	0.0408146
0.0000018	0.0677082	0.4724915	0.0082605	0.0458684
0.0000007	0.0755207	0.4836190	0.0000000	0.0351525
0.0000003	0.0588502	0.4575666	0.0000000	0.0311656
0.0000006	0.0857326	0.5168683	0.0000001	0.0258939
0.0000005	0.0637182	0.5224188	0.0000001	0.0269325
0.0000011	0.0813546	0.4595984	0.0000000	0.0473136
