G1	G2	G3	G5	G10
0.0394749	0.2111964	0.0061728	0.4096209	0.9928302
0.0394749	0.2111964	0.0120988	0.3096210	0.9545915
0.0394749	0.2111964	0.0363634	0.2096209	0.6081100
0.0394749	0.2111964	0.2005048	0.1096209	0.0548608
0.0394749	0.2111964	0.5660136	0.0096210	0.0374578
0.0394749	0.2111964	0.5664306	0.0000000	0.0374578
0.0394749	0.2111964	0.5664306	0.0000000	0.0374578
0.0394749	0.2111964	0.5664306	0.0000000	0.0374578
0.0394749	0.2111964	0.5664306	0.0000000	0.0374578
0.0394749	0.2111964	0.5664306	0.0000000	0.0374578
0.0394749	0.2111964	0.5664306	0.0000000	0.0374578
0.0000009	0.0914241	0.0039959	0.4096209	0.9928302
0.0000009	0.0914241	0.0099087	0.3096209	0.9545824
0.0000009	0.0914241	0.0340922	0.2096209	0.6081100
0.0000004	0.0914241	0.1977161	0.1096209	0.0548608
0.0000009	0.0914241	0.5621280	0.0096209	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.0039959	0.4096209	0.9928302
0.0000009	0.0914241	0.0099087	0.3096209	0.9545824
0.0000009	0.0914241	0.0340922	0.2096209	0.6081100
0.0000004	0.0914241	0.1977161	0.1096209	0.0548608
0.0000009	0.0914241	0.5621280	0.0096209	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.0039959	0.4096209	0.9928302
0.0000009	0.0914241	0.0099087	0.3096209	0.9545824
0.0000009	0.0914241	0.0340922	0.2096209	0.6081100
0.0000004	0.0914241	0.1977161	0.1096209	0.0548608
0.0000009	0.0914241	0.5621280	0.0096209	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.0039959	0.4096209	0.9928302
0.0000009	0.0914241	0.0099087	0.3096209	0.9545824
0.0000009	0.0914241	0.0340922	0.2096209	0.6081100
0.0000004	0.0914241	0.1977161	0.1096209	0.0548608
0.0000009	0.0914241	0.5621280	0.0096209	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.0039959	0.4096209	0.9928302
0.0000009	0.0914241	0.0099087	0.3096209	0.9545824
0.0000009	0.0914241	0.0340922	0.2096209	0.6081100
0.0000004	0.0914241	0.1977161	0.1096209	0.0548608
0.0000009	0.0914241	0.5621280	0.0096209	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.0039959	0.4096209	0.9928302
0.0000009	0.0914241	0.0099087	0.3096209	0.9545824
0.0000009	0.0914241	0.0340922	0.2096209	0.6081100
0.0000004	0.0914241	0.1977161	0.1096209	0.0548608
0.0000009	0.0914241	0.5621280	0.0096209	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.0039959	0.4096209	0.9928302
0.0000009	0.0914241	0.0099087	0.3096209	0.9545824
0.0000009	0.0914241	0.0340922	0.2096209	0.6081100
0.0000004	0.0914241	0.1977161	0.1096209	0.0548608
0.0000009	0.0914241	0.5621280	0.0096209	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.0039959	0.4096209	0.9928302
0.0000009	0.0914241	0.0099087	0.3096209	0.9545824
0.0000009	0.0914241	0.0340922	0.2096209	0.6081100
0.0000004	0.0914241	0.1977161	0.1096209	0.0548608
0.0000009	0.0914241	0.5621280	0.0096209	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.0039959	0.4096209	0.9928302
0.0000009	0.0914241	0.0099087	0.3096209	0.9545824
0.0000009	0.0914241	0.0340922	0.2096209	0.6081100
0.0000004	0.0914241	0.1977161	0.1096209	0.0548608
0.0000009	0.0914241	0.5621280	0.0096209	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.0039959	0.4096209	0.9928302
0.0000009	0.0914241	0.0099087	0.3096209	0.9545824
0.0000009	0.0914241	0.0340922	0.2096209	0.6081100
0.0000004	0.0914241	0.1977161	0.1096209	0.0548608
0.0000009	0.0914241	0.5621280	0.0096209	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
0.0000009	0.0914241	0.5624882	0.0000000	0.0374578
