G1	G2	G3	G5	G10
0.0394749	0.2111964	0.0061746	0.4096209	0.9928301
0.0394749	0.2111964	0.0120897	0.3096247	0.9546250
0.0394749	0.2111964	0.0363489	0.2096218	0.6081831
0.0394749	0.2111964	0.2004400	0.1096213	0.0548679
0.0394749	0.2111964	0.5658165	0.0096261	0.0374647
0.0394749	0.2111964	0.5663702	0.0000018	0.0374596
0.0394749	0.2111964	0.5663702	0.0000018	0.0374596
0.0394749	0.2111964	0.5663702	0.0000018	0.0374596
0.0394749	0.2111964	0.5663702	0.0000018	0.0374596
0.0394749	0.2111964	0.5663702	0.0000018	0.0374596
0.0394749	0.2111964	0.5663702	0.0000018	0.0374596
0.0000050	0.0914246	0.0039960	0.4096209	0.9928302
0.0000050	0.0914246	0.0099072	0.3096213	0.9545871
0.0000050	0.0914246	0.0340778	0.2096218	0.6081831
0.0000022	0.0914242	0.1976515	0.1096213	0.0548679
0.0000050	0.0914246	0.5620514	0.0096227	0.0374597
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.0039960	0.4096209	0.9928302
0.0000050	0.0914246	0.0099072	0.3096213	0.9545871
0.0000050	0.0914246	0.0340778	0.2096218	0.6081831
0.0000022	0.0914242	0.1976515	0.1096213	0.0548679
0.0000050	0.0914246	0.5620514	0.0096227	0.0374597
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.0039960	0.4096209	0.9928302
0.0000050	0.0914246	0.0099072	0.3096213	0.9545871
0.0000050	0.0914246	0.0340778	0.2096218	0.6081831
0.0000022	0.0914242	0.1976515	0.1096213	0.0548679
0.0000050	0.0914246	0.5620514	0.0096227	0.0374597
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.0039960	0.4096209	0.9928302
0.0000050	0.0914246	0.0099072	0.3096213	0.9545871
0.0000050	0.0914246	0.0340778	0.2096218	0.6081831
0.0000022	0.0914242	0.1976515	0.1096213	0.0548679
0.0000050	0.0914246	0.5620514	0.0096227	0.0374597
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.0039960	0.4096209	0.9928302
0.0000050	0.0914246	0.0099072	0.3096213	0.9545871
0.0000050	0.0914246	0.0340778	0.2096218	0.6081831
0.0000022	0.0914242	0.1976515	0.1096213	0.0548679
0.0000050	0.0914246	0.5620514	0.0096227	0.0374597
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.0039960	0.4096209	0.9928302
0.0000050	0.0914246	0.0099072	0.3096213	0.9545871
0.0000050	0.0914246	0.0340778	0.2096218	0.6081831
0.0000022	0.0914242	0.1976515	0.1096213	0.0548679
0.0000050	0.0914246	0.5620514	0.0096227	0.0374597
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.0039960	0.4096209	0.9928302
0.0000050	0.0914246	0.0099072	0.3096213	0.9545871
0.0000050	0.0914246	0.0340778	0.2096218	0.6081831
0.0000022	0.0914242	0.1976515	0.1096213	0.0548679
0.0000050	0.0914246	0.5620514	0.0096227	0.0374597
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.0039960	0.4096209	0.9928302
0.0000050	0.0914246	0.0099072	0.3096213	0.9545871
0.0000050	0.0914246	0.0340778	0.2096218	0.6081831
0.0000022	0.0914242	0.1976515	0.1096213	0.0548679
0.0000050	0.0914246	0.5620514	0.0096227	0.0374597
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.0039960	0.4096209	0.9928302
0.0000050	0.0914246	0.0099072	0.3096213	0.9545871
0.0000050	0.0914246	0.0340778	0.2096218	0.6081831
0.0000022	0.0914242	0.1976515	0.1096213	0.0548679
0.0000050	0.0914246	0.5620514	0.0096227	0.0374597
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.0039960	0.4096209	0.9928302
0.0000050	0.0914246	0.0099072	0.3096213	0.9545871
0.0000050	0.0914246	0.0340778	0.2096218	0.6081831
0.0000022	0.0914242	0.1976515	0.1096213	0.0548679
0.0000050	0.0914246	0.5620514	0.0096227	0.0374597
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
0.0000050	0.0914246	0.5624281	0.0000018	0.0374596
