G1	G2	G3	G5	G10
0.0342437	0.1978680	0.0085566	0.3555706	0.9276284
0.0190948	0.1689558	0.0141378	0.2703671	0.8622068
0.0489843	0.1355736	0.0252903	0.1445593	0.4875168
0.0268723	0.1388017	0.1315226	0.0706609	0.0734558
0.0543251	0.1758168	0.4701408	0.0038122	0.0248397
0.0414711	0.1361358	0.4628772	0.0000052	0.0190501
0.0313144	0.1963990	0.4808480	0.0000021	0.0730995
0.0278324	0.2241609	0.5364465	0.0000027	0.0255199
0.0295611	0.1983469	0.4412562	0.0000032	0.0387523
0.0303606	0.2092837	0.5095839	0.0000007	0.0305781
0.0603178	0.2015762	0.5475926	0.0000030	0.0253910
0.0000039	0.0641322	0.0052627	0.3898768	0.8370273
0.0000033	0.0732361	0.0178507	0.2230486	0.7359524
0.0000027	0.0630297	0.0402412	0.2139235	0.5132349
0.0000060	0.0802926	0.1880881	0.0855212	0.0616257
0.0000031	0.0797672	0.4048552	0.0147832	0.0588369
0.0000074	0.0759215	0.4241011	0.0000012	0.0344293
0.0000022	0.0480239	0.4501057	0.0000021	0.0576628
0.0000053	0.0562785	0.5241715	0.0000019	0.0361506
0.0000011	0.0998077	0.5564572	0.0000017	0.0383971
0.0000022	0.0830180	0.4148634	0.0000086	0.0317534
0.0000019	0.0514128	0.4626157	0.0000012	0.0221749
0.0000028	0.0570533	0.0077506	0.3982621	0.7864561
0.0000025	0.0645140	0.0072072	0.2411756	0.8067530
0.0000135	0.0898010	0.0383658	0.1679127	0.5570989
0.0000016	0.1106003	0.2584866	0.0917332	0.0469404
0.0000151	0.0764791	0.5314520	0.0036254	0.0395784
0.0000047	0.0483246	0.4044020	0.0000009	0.0233998
0.0000037	0.0616183	0.4548535	0.0000030	0.0312322
0.0000090	0.1310373	0.5819091	0.0000009	0.0411631
0.0000139	0.0650162	0.5311793	0.0000012	0.0116116
0.0000075	0.0654389	0.4706688	0.0000007	0.0573206
0.0000040	0.0643373	0.4528687	0.0000029	0.0233837
0.0000045	0.0806787	0.0021163	0.3131413	0.8105161
0.0000023	0.0710313	0.0063653	0.2842135	0.7398503
0.0000029	0.0838659	0.0233400	0.2412542	0.4652168
0.0000022	0.0743058	0.2006530	0.0846473	0.0389953
0.0000017	0.1075864	0.4817623	0.0048005	0.0183462
0.0000031	0.0668233	0.4772987	0.0000004	0.0454871
0.0000098	0.0752667	0.3435744	0.0000040	0.0191683
0.0000019	0.0729961	0.4043324	0.0000005	0.0274254
0.0000014	0.0931055	0.4563084	0.0000005	0.0156590
0.0000077	0.0657205	0.4627365	0.0000101	0.0229535
0.0000011	0.0710846	0.4522553	0.0000005	0.0243115
0.0000031	0.0977709	0.0047190	0.4250892	0.8113874
0.0000048	0.0625384	0.0101047	0.2356727	0.8041217
0.0000034	0.0745291	0.0217403	0.1439973	0.5529629
0.0000014	0.1138263	0.1803508	0.0505657	0.0970113
0.0000070	0.0590854	0.5154715	0.0047848	0.0285365
0.0000044	0.0695361	0.4720475	0.0000007	0.0288135
0.0000058	0.0481296	0.4408760	0.0000015	0.0218988
0.0000029	0.0711597	0.4373865	0.0000025	0.0380735
0.0000019	0.1019464	0.5643110	0.0000006	0.0374133
0.0000034	0.0877698	0.5405570	0.0000008	0.0409907
0.0000015	0.0762134	0.5225447	0.0000011	0.0657223
