G1	G2	G3	G4	G5	G6	G7	G9	G10
0.2689780	0.6897443	0.6608046	0.7234933	0.9585707	0.9982333	1.0000000	0.9999849	1.0000000
0.2689432	0.6894318	0.5765371	0.7266153	0.9585737	0.9982339	1.0000000	0.9999999	0.9000001
0.2689431	0.6889199	0.4784791	0.7337909	0.9585737	0.9982339	1.0000000	0.9999999	0.8000000
0.2689431	0.6877118	0.3724867	0.7522770	0.9585737	0.9982339	1.0000000	0.9999999	0.7000001
0.2689431	0.6850767	0.2686748	0.8013160	0.9585737	0.9982339	1.0000000	1.0000000	0.6000000
0.2689431	0.6817723	0.1794937	0.8934706	0.9585737	0.9982339	1.0000000	1.0000000	0.5000000
0.2689431	0.6801036	0.1142203	0.9672704	0.9585737	0.9982339	1.0000000	1.0000000	0.4000000
0.2689431	0.6796838	0.0749820	0.9913440	0.9585737	0.9982339	1.0000000	1.0000000	0.3000000
0.2689431	0.6795978	0.0568534	0.9965526	0.9585737	0.9982339	1.0000000	1.0000000	0.2000000
0.2689431	0.6795816	0.0514941	0.9975321	0.9585737	0.9982339	1.0000000	1.0000000	0.1000000
0.2689431	0.6795797	0.0509779	0.9976194	0.9585737	0.9982339	1.0000000	1.0000000	0.0000000
0.2689433	0.6913388	0.6608046	0.7024971	0.9336272	0.9980345	0.9000000	0.9999999	1.0000000
0.2689432	0.6910404	0.5765371	0.7060960	0.9335170	0.9980286	0.9000000	0.9999999	0.9000001
0.2689431	0.6903698	0.4784791	0.7143693	0.9334683	0.9980256	0.9000000	0.9999999	0.8000000
0.2689431	0.6888159	0.3724867	0.7355438	0.9334683	0.9980256	0.9000000	0.9999999	0.7000001
0.2689431	0.6855862	0.2686748	0.7906935	0.9334469	0.9980241	0.9000000	1.0000000	0.6000000
0.2689431	0.6818549	0.1794937	0.8904906	0.9334376	0.9980233	0.9000000	1.0000000	0.5000000
0.2689431	0.6801088	0.1142203	0.9669944	0.9334376	0.9980233	0.9000000	1.0000000	0.4000000
0.2689431	0.6796841	0.0749820	0.9913247	0.9334469	0.9980241	0.9000000	1.0000000	0.3000000
0.2689431	0.6795978	0.0568534	0.9965495	0.9334469	0.9980241	0.9000000	1.0000000	0.2000000
0.2689431	0.6795817	0.0514941	0.9975305	0.9334469	0.9980241	0.9000000	1.0000000	0.1000000
0.2689431	0.6795797	0.0509779	0.9976179	0.9334318	0.9980229	0.9000000	1.0000000	0.0000000
0.2689432	0.6935934	0.6608046	0.6782813	0.8894496	0.9975930	0.8000000	0.9999999	1.0000000
0.2689432	0.6931793	0.5765371	0.6824999	0.8894496	0.9975930	0.8000000	0.9999999	0.9000001
0.2689431	0.6922723	0.4784791	0.6921292	0.8892920	0.9975810	0.8000000	0.9999999	0.8000000
0.2689431	0.6902183	0.3724867	0.7165883	0.8892920	0.9975810	0.8000000	0.9999999	0.7000001
0.2689431	0.6861868	0.2686748	0.7789937	0.8892228	0.9975750	0.8000000	1.0000000	0.6000000
0.2689431	0.6819427	0.1794937	0.8873709	0.8891925	0.9975721	0.8000000	1.0000000	0.5000000
0.2689431	0.6801140	0.1142203	0.9667164	0.8891925	0.9975721	0.8000000	1.0000000	0.4000000
0.2689431	0.6796845	0.0749820	0.9913055	0.8892228	0.9975750	0.8000000	1.0000000	0.3000000
0.2689431	0.6795979	0.0568534	0.9965463	0.8892228	0.9975750	0.8000000	1.0000000	0.2000000
0.2689431	0.6795817	0.0514941	0.9975289	0.8892228	0.9975750	0.8000000	1.0000000	0.1000000
0.2689431	0.6795798	0.0509779	0.9976165	0.8891737	0.9975701	0.8000000	1.0000000	0.0000000
0.2689431	0.6967277	0.6608046	0.6501135	0.8105872	0.9964194	0.7000000	1.0000000	1.0000000
0.2689431	0.6961267	0.5764594	0.6551263	0.8105872	0.9964194	0.7000000	1.0000000	0.9000000
0.2689431	0.6948412	0.4784316	0.6664791	0.8105872	0.9964194	0.7000000	1.0000000	0.8000000
0.2689431	0.6920091	0.3724128	0.6951121	0.8105872	0.9964194	0.7000000	1.0000000	0.7000000
0.2689431	0.6868733	0.2686411	0.7662383	0.8105125	0.9964081	0.7000000	1.0000000	0.6000000
0.2689431	0.6820363	0.1794937	0.8841059	0.8105125	0.9964081	0.7000000	1.0000000	0.5000000
0.2689431	0.6801193	0.1142203	0.9664369	0.8105125	0.9964081	0.7000000	1.0000000	0.4000000
0.2689431	0.6796848	0.0749820	0.9912863	0.8105872	0.9964194	0.7000000	1.0000000	0.3000000
0.2689431	0.6795979	0.0568534	0.9965433	0.8105872	0.9964194	0.7000000	1.0000000	0.2000000
0.2689431	0.6795817	0.0514941	0.9975273	0.8105872	0.9964194	0.7000000	1.0000000	0.1000000
0.2689431	0.6795798	0.0509779	0.9976151	0.8104660	0.9964002	0.7000000	1.0000000	0.0000000
0.2689431	0.7012793	0.6608046	0.6170188	0.6761636	0.9922919	0.6000000	1.0000000	1.0000000
0.2689431	0.7003742	0.5764516	0.6230204	0.6761636	0.9922919	0.6000000	1.0000000	0.9000000
0.2689431	0.6984688	0.4784139	0.6365583	0.6761636	0.9922919	0.6000000	1.0000000	0.8000000
0.2689431	0.6944280	0.3723854	0.6703527	0.6761636	0.9922919	0.6000000	1.0000000	0.7000000
0.2689431	0.6877316	0.2686411	0.7519162	0.6761636	0.9922919	0.6000000	1.0000000	0.6000000
0.2689431	0.6821361	0.1794937	0.8806910	0.6761636	0.9922919	0.6000000	1.0000000	0.5000000
0.2689431	0.6801246	0.1142203	0.9661563	0.6761636	0.9922919	0.6000000	1.0000000	0.4000000
0.2689431	0.6796826	0.0749653	0.9913078	0.6761636	0.9922919	0.6000000	1.0000000	0.3000000
0.2689431	0.6795971	0.0568461	0.9965523	0.6761636	0.9922919	0.6000000	1.0000000	0.2000000
0.2689431	0.6795813	0.0514925	0.9975301	0.6761636	0.9922919	0.6000000	1.0000000	0.1000000
0.2689431	0.6795798	0.0509779	0.9976137	0.6760656	0.9922505	0.6000000	1.0000000	0.0000000
0.2689431	0.7082908	0.6608046	0.5776616	0.4783902	0.9672964	0.5000000	1.0000000	1.0000000
0.2689431	0.7068381	0.5764487	0.5849501	0.4783902	0.9672964	0.5000000	1.0000000	0.9000000
0.2689431	0.7038448	0.4784073	0.6013076	0.4783902	0.9672964	0.5000000	1.0000000	0.8000000
0.2689431	0.6978011	0.3723752	0.6416361	0.4783902	0.9672964	0.5000000	1.0000000	0.7000000
0.2689431	0.6887642	0.2686286	0.7360649	0.4783902	0.9672964	0.5000000	1.0000000	0.6000000
0.2689431	0.6822319	0.1794813	0.8772348	0.4783902	0.9672964	0.5000000	1.0000000	0.5000000
0.2689431	0.6801266	0.1142104	0.9659270	0.4783902	0.9672964	0.5000000	1.0000000	0.4000000
0.2689431	0.6796820	0.0749592	0.9913037	0.4783902	0.9672964	0.5000000	1.0000000	0.3000000
0.2689431	0.6795968	0.0568434	0.9965533	0.4783902	0.9672964	0.5000000	1.0000000	0.2000000
0.2689431	0.6795812	0.0514919	0.9975298	0.4783902	0.9672964	0.5000000	1.0000000	0.1000000
0.2689431	0.6795798	0.0509779	0.9976123	0.4783399	0.9671694	0.5000000	1.0000000	0.0000000
0.2689432	0.7199017	0.6608046	0.5302423	0.2670452	0.7164303	0.4000000	0.9999997	1.0000000
0.2689432	0.7173750	0.5764471	0.5392433	0.2670452	0.7164303	0.4000000	0.9999997	0.9000000
0.2689432	0.7123095	0.4784037	0.5593193	0.2670452	0.7164303	0.4000000	0.9999997	0.8000000
0.2689432	0.7027023	0.3723696	0.6080867	0.2670452	0.7164303	0.4000000	0.9999997	0.7000000
0.2689432	0.6900519	0.2686217	0.7183499	0.2670452	0.7164303	0.4000000	0.9999997	0.6000000
0.2689432	0.6823376	0.1794744	0.8735903	0.2670452	0.7164303	0.4000000	0.9999997	0.5000000
0.2689432	0.6801301	0.1142049	0.9656764	0.2670452	0.7164303	0.4000000	0.9999997	0.4000000
0.2689432	0.6796819	0.0749558	0.9912933	0.2670452	0.7164303	0.4000000	0.9999997	0.3000000
0.2689432	0.6795968	0.0568420	0.9965524	0.2670452	0.7164303	0.4000000	0.9999997	0.2000000
0.2689432	0.6795812	0.0514916	0.9975288	0.2670452	0.7164303	0.4000000	0.9999997	0.1000000
0.2689432	0.6795799	0.0509779	0.9976110	0.2670452	0.7164303	0.4000000	0.9999997	0.0000000
0.2708578	0.7416559	0.6608046	0.4723090	0.1284441	0.1547298	0.3000000	0.9966920	1.0000000
0.2708578	0.7368553	0.5764470	0.4836402	0.1284441	0.1547298	0.3000000	0.9966920	0.9000000
0.2708578	0.7275430	0.4784035	0.5087225	0.1284441	0.1547298	0.3000000	0.9966920	0.8000000
