G1	G2	G3	G4	G5	G6	G7	G9	G10
0.2690386	0.6898314	0.6608046	0.7234933	0.9585659	0.9982331	1.0000000	0.9999800	1.0000000
0.2689433	0.6894371	0.5766081	0.7265968	0.9585737	0.9982339	1.0000000	0.9999999	0.9000357
0.2689432	0.6889304	0.4785397	0.7337545	0.9585737	0.9982339	1.0000000	0.9999999	0.8000263
0.2689432	0.6877473	0.3725807	0.7521331	0.9585737	0.9982339	1.0000000	0.9999999	0.7000395
0.2689431	0.6851172	0.2687182	0.8011205	0.9585737	0.9982339	1.0000000	1.0000000	0.6000194
0.2689431	0.6817916	0.1795097	0.8933365	0.9585737	0.9982339	1.0000000	1.0000000	0.5000089
0.2689431	0.6801128	0.1142332	0.9671904	0.9585737	0.9982339	1.0000000	1.0000000	0.4000107
0.2689431	0.6796938	0.0750039	0.9912699	0.9585737	0.9982339	1.0000000	1.0000000	0.3000340
0.2689431	0.6796028	0.0568632	0.9965261	0.9585737	0.9982339	1.0000000	1.0000000	0.2000388
0.2689431	0.6795849	0.0514965	0.9975199	0.9585737	0.9982339	1.0000000	1.0000000	0.1000437
0.2689431	0.6795798	0.0509779	0.9976193	0.9585737	0.9982339	1.0000000	1.0000000	0.0000024
0.2689436	0.6913252	0.6608046	0.7025227	0.9338935	0.9980368	0.9000170	0.9999999	1.0000000
0.2689433	0.6910423	0.5766081	0.7060827	0.9336406	0.9980298	0.9000051	0.9999999	0.9000357
0.2689432	0.6903818	0.4785397	0.7143299	0.9335244	0.9980262	0.9000015	0.9999999	0.8000263
0.2689432	0.6888595	0.3725807	0.7353820	0.9335244	0.9980262	0.9000015	0.9999999	0.7000395
0.2689431	0.6856341	0.2687182	0.7904767	0.9334720	0.9980244	0.9000004	1.0000000	0.6000194
0.2689431	0.6818757	0.1795097	0.8903486	0.9334487	0.9980235	0.9000001	1.0000000	0.5000089
0.2689431	0.6801183	0.1142332	0.9669128	0.9334487	0.9980235	0.9000001	1.0000000	0.4000107
0.2689431	0.6796944	0.0750039	0.9912497	0.9334720	0.9980244	0.9000004	1.0000000	0.3000340
0.2689431	0.6796030	0.0568632	0.9965227	0.9334720	0.9980244	0.9000004	1.0000000	0.2000388
0.2689431	0.6795850	0.0514965	0.9975181	0.9334720	0.9980244	0.9000004	1.0000000	0.1000437
0.2689431	0.6795798	0.0509779	0.9976178	0.9334339	0.9980229	0.9000000	1.0000000	0.0000024
0.2689433	0.6935797	0.6608046	0.6783004	0.8898454	0.9975979	0.8000101	0.9999999	1.0000000
0.2689433	0.6931752	0.5766081	0.6824937	0.8898454	0.9975979	0.8000101	0.9999999	0.9000357
0.2689432	0.6922863	0.4785397	0.6920862	0.8894726	0.9975836	0.8000030	0.9999999	0.8000263
0.2689432	0.6902733	0.3725807	0.7164048	0.8894726	0.9975836	0.8000030	0.9999999	0.7000395
0.2689431	0.6862442	0.2687182	0.7787522	0.8893038	0.9975763	0.8000009	1.0000000	0.6000194
0.2689431	0.6819654	0.1795097	0.8872205	0.8892285	0.9975727	0.8000003	1.0000000	0.5000089
0.2689431	0.6801238	0.1142332	0.9666333	0.8892285	0.9975727	0.8000003	1.0000000	0.4000107
0.2689431	0.6796951	0.0750039	0.9912297	0.8893038	0.9975763	0.8000009	1.0000000	0.3000340
0.2689431	0.6796033	0.0568632	0.9965192	0.8893038	0.9975763	0.8000009	1.0000000	0.2000388
0.2689431	0.6795852	0.0514965	0.9975163	0.8893038	0.9975763	0.8000009	1.0000000	0.1000437
0.2689431	0.6795798	0.0509779	0.9976164	0.8891806	0.9975702	0.8000000	1.0000000	0.0000024
0.2689431	0.6967242	0.6608046	0.6501168	0.8107862	0.9964241	0.7000013	1.0000000	1.0000000
0.2689431	0.6961261	0.5764695	0.6551246	0.8107862	0.9964241	0.7000013	1.0000000	0.9000049
0.2689431	0.6948497	0.4784543	0.6664591	0.8107862	0.9964241	0.7000013	1.0000000	0.8000097
0.2689431	0.6920427	0.3724480	0.6950256	0.8107862	0.9964241	0.7000013	1.0000000	0.7000146
0.2689431	0.6869034	0.2686572	0.7661315	0.8106010	0.9964104	0.7000004	1.0000000	0.6000071
0.2689431	0.6820610	0.1795097	0.8839463	0.8106010	0.9964104	0.7000004	1.0000000	0.5000089
0.2689431	0.6801294	0.1142332	0.9663521	0.8106010	0.9964104	0.7000004	1.0000000	0.4000107
0.2689431	0.6796957	0.0750039	0.9912097	0.8107862	0.9964241	0.7000013	1.0000000	0.3000340
0.2689431	0.6796035	0.0568632	0.9965158	0.8107862	0.9964241	0.7000013	1.0000000	0.2000388
0.2689431	0.6795853	0.0514965	0.9975145	0.8107862	0.9964241	0.7000013	1.0000000	0.1000437
0.2689431	0.6795798	0.0509779	0.9976150	0.8104830	0.9964007	0.7000000	1.0000000	0.0000024
0.2689431	0.7012770	0.6608046	0.6170204	0.6763494	0.9923039	0.6000005	1.0000000	1.0000000
0.2689431	0.7003737	0.5764553	0.6230197	0.6763494	0.9923039	0.6000005	1.0000000	0.9000018
0.2689431	0.6984741	0.4784223	0.6365489	0.6763494	0.9923039	0.6000005	1.0000000	0.8000036
0.2689431	0.6944482	0.3723985	0.6703127	0.6763494	0.9923039	0.6000005	1.0000000	0.7000054
0.2689431	0.6877688	0.2686572	0.7517960	0.6763494	0.9923039	0.6000005	1.0000000	0.6000071
0.2689431	0.6821630	0.1795097	0.8805215	0.6763494	0.9923039	0.6000005	1.0000000	0.5000089
0.2689431	0.6801350	0.1142332	0.9660698	0.6763494	0.9923039	0.6000005	1.0000000	0.4000107
0.2689431	0.6796864	0.0749733	0.9912813	0.6763494	0.9923039	0.6000005	1.0000000	0.3000125
0.2689431	0.6795988	0.0568496	0.9965437	0.6763494	0.9923039	0.6000005	1.0000000	0.2000143
0.2689431	0.6795824	0.0514933	0.9975266	0.6763494	0.9923039	0.6000005	1.0000000	0.1000161
0.2689431	0.6795799	0.0509779	0.9976136	0.6761014	0.9922532	0.6000000	1.0000000	0.0000024
0.2689431	0.7082893	0.6608046	0.5776623	0.4785292	0.9673514	0.5000002	1.0000000	1.0000000
0.2689431	0.7068379	0.5764501	0.5849497	0.4785292	0.9673514	0.5000002	1.0000000	0.9000007
0.2689431	0.7038482	0.4784105	0.6013033	0.4785292	0.9673514	0.5000002	1.0000000	0.8000013
0.2689431	0.6978132	0.3723801	0.6416178	0.4785292	0.9673514	0.5000002	1.0000000	0.7000020
0.2689431	0.6887835	0.2686346	0.7360123	0.4785292	0.9673514	0.5000002	1.0000000	0.6000026
0.2689431	0.6822436	0.1794872	0.8771663	0.4785292	0.9673514	0.5000002	1.0000000	0.5000033
0.2689431	0.6801306	0.1142152	0.9658945	0.4785292	0.9673514	0.5000002	1.0000000	0.4000039
0.2689431	0.6796833	0.0749621	0.9912944	0.4785292	0.9673514	0.5000002	1.0000000	0.3000046
0.2689431	0.6795974	0.0568447	0.9965506	0.4785292	0.9673514	0.5000002	1.0000000	0.2000053
0.2689431	0.6795815	0.0514922	0.9975288	0.4785292	0.9673514	0.5000002	1.0000000	0.1000059
0.2689431	0.6795799	0.0509779	0.9976122	0.4784008	0.9671955	0.5000001	1.0000000	0.0000024
0.2689432	0.7199016	0.6608046	0.5302424	0.2670592	0.7165058	0.4000000	0.9999997	1.0000000
0.2689432	0.7173750	0.5764471	0.5392432	0.2670592	0.7165058	0.4000000	0.9999997	0.9000000
0.2689432	0.7123099	0.4784039	0.5593190	0.2670592	0.7165058	0.4000000	0.9999997	0.8000001
0.2689432	0.7027034	0.3723698	0.6080855	0.2670592	0.7165058	0.4000000	0.9999997	0.7000001
0.2689432	0.6900534	0.2686220	0.7183467	0.2670592	0.7165058	0.4000000	0.9999997	0.6000001
0.2689432	0.6823383	0.1794747	0.8735865	0.2670592	0.7165058	0.4000000	0.9999997	0.5000002
0.2689432	0.6801303	0.1142051	0.9656748	0.2670592	0.7165058	0.4000000	0.9999997	0.4000002
0.2689432	0.6796820	0.0749559	0.9912929	0.2670592	0.7165058	0.4000000	0.9999997	0.3000002
0.2689432	0.6795968	0.0568420	0.9965523	0.2670592	0.7165058	0.4000000	0.9999997	0.2000003
0.2689432	0.6795812	0.0514916	0.9975288	0.2670592	0.7165058	0.4000000	0.9999997	0.1000003
0.2689432	0.6795799	0.0509779	0.9976110	0.2670592	0.7165058	0.4000000	0.9999997	0.0000003
0.2707738	0.7416078	0.6608046	0.4723090	0.1284464	0.1547415	0.3000000	0.9967085	1.0000000
0.2707738	0.7368053	0.5764470	0.4836402	0.1284464	0.1547415	0.3000000	0.9967085	0.9000000
0.2707738	0.7274895	0.4784036	0.5087224	0.1284464	0.1547415	0.3000000	0.9967085	0.8000000
0.2707738	0.7111359	0.3723694	0.5685715	0.1284464	0.1547415	0.3000000	0.9967085	0.7000000
0.2707738	0.6927323	0.2686214	0.6985067	0.1284464	0.1547415	0.3000000	0.9967085	0.6000000
0.2707738	0.6835606	0.1794741	0.8697448	0.1284464	0.1547415	0.3000000	0.9967085	0.5000000
0.2707738	0.6812564	0.1142047	0.9654000	0.1284464	0.1547415	0.3000000	0.9967085	0.4000000
0.2707738	0.6808065	0.0749556	0.9912759	0.1284464	0.1547415	0.3000000	0.9967085	0.3000000
0.2707738	0.6807217	0.0568419	0.9965497	0.1284464	0.1547415	0.3000000	0.9967085	0.2000000
0.2707738	0.6807063	0.0514916	0.9975274	0.1284464	0.1547415	0.3000000	0.9967085	0.1000000
0.2707738	0.6807050	0.0509779	0.9976096	0.1284464	0.1547415	0.3000000	0.9967085	0.0000000
0.3808822	0.8132800	0.6608046	0.4005805	0.0778444	0.0803324	0.2000000	0.8450929	1.0000000
0.3808822	0.8059742	0.5764470	0.4151590	0.0778444	0.0803324	0.2000000	0.8450929	0.9000000
0.3808822	0.7924227	0.4784035	0.4471295	0.0778444	0.0803324	0.2000000	0.8450929	0.8000000
0.3808822	0.7711534	0.3723693	0.5217863	0.0778444	0.0803324	0.2000000	0.8450929	0.7000000
0.3808822	0.7520292	0.2686213	0.6763824	0.0778444	0.0803324	0.2000000	0.8450929	0.6000000
0.3808822	0.7447285	0.1794740	0.8657814	0.0778444	0.0803324	0.2000000	0.8450929	0.5000000
0.3808822	0.7431529	0.1142046	0.9651268	0.0778444	0.0803324	0.2000000	0.8450929	0.4000000
0.3808822	0.7428578	0.0749556	0.9912587	0.0778444	0.0803324	0.2000000	0.8450929	0.3000000
0.3808822	0.7428026	0.0568419	0.9965470	0.0778444	0.0803324	0.2000000	0.8450929	0.2000000
0.3808822	0.7427926	0.0514916	0.9975260	0.0778444	0.0803324	0.2000000	0.8450929	0.1000000
0.3808822	0.7427917	0.0509779	0.9976083	0.0778444	0.0803324	0.2000000	0.8450929	0.0000000
0.4257491	0.8799982	0.6608046	0.3111939	0.0690619	0.0759660	0.1000000	0.7957083	1.0000000
0.4257491	0.8656713	0.5764470	0.3303750	0.0690619	0.0759660	0.1000000	0.7957083	0.9000000
0.4257491	0.8388395	0.4784035	0.3719574	0.0690619	0.0759660	0.1000000	0.7957083	0.8000000
0.4257491	0.7996622	0.3723693	0.4665592	0.0690619	0.0759660	0.1000000	0.7957083	0.7000000
0.4257491	0.7721139	0.2686213	0.6520012	0.0690619	0.0759660	0.1000000	0.7957083	0.6000000
