G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.9406512	0.9437483	0.6608046	0.2061520	0.0687266	0.0758312	0.0290174	0.7798392	0.3023999	1.0000000
0.9402913	0.9319518	0.5765074	0.2313947	0.0687264	0.0758305	0.0290156	0.7798478	0.3025251	0.9000132
0.9402906	0.9074852	0.4784223	0.2857059	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	0.8000036
0.9402905	0.8764670	0.3723801	0.4055511	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	0.7000020
0.9402905	0.8628037	0.2686346	0.6268604	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	0.6000026
0.9402906	0.8604184	0.1795097	0.8575081	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	0.5000089
0.9402906	0.8600489	0.1142332	0.9644352	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	0.4000107
0.9402909	0.8599874	0.0750039	0.9910740	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	0.3000340
0.9402909	0.8599743	0.0568632	0.9964892	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	0.2000388
0.9402909	0.8599716	0.0514965	0.9974991	0.0687264	0.0758305	0.0290156	0.7798478	0.3025252	0.1000437
0.9402905	0.8599696	0.0509779	0.9976058	0.0687264	0.0758305	0.0290156	0.7798478	0.3025253	0.0000024
0.9402922	0.9587758	0.6608046	0.2061520	0.0687255	0.0758301	0.0108031	0.7798486	0.3025282	1.0000000
0.9402891	0.9469053	0.5765074	0.2313947	0.0687255	0.0758301	0.0108002	0.7798487	0.3025292	0.9000132
0.9402882	0.9222440	0.4784223	0.2857059	0.0687255	0.0758301	0.0108000	0.7798487	0.3025295	0.8000036
0.9402881	0.8909767	0.3723801	0.4055511	0.0687255	0.0758301	0.0108000	0.7798487	0.3025295	0.7000020
0.9402881	0.8772036	0.2686346	0.6268604	0.0687255	0.0758301	0.0108000	0.7798487	0.3025295	0.6000026
0.9402882	0.8747990	0.1795097	0.8575081	0.0687255	0.0758301	0.0108000	0.7798487	0.3025295	0.5000089
0.9402882	0.8744265	0.1142332	0.9644352	0.0687255	0.0758301	0.0108000	0.7798487	0.3025295	0.4000107
0.9402885	0.8743641	0.0750039	0.9910740	0.0687255	0.0758301	0.0108000	0.7798487	0.3025294	0.3000340
0.9402885	0.8743509	0.0568632	0.9964892	0.0687255	0.0758301	0.0108000	0.7798487	0.3025294	0.2000388
0.9402885	0.8743482	0.0514965	0.9974991	0.0687255	0.0758301	0.0108000	0.7798487	0.3025294	0.1000437
0.9402880	0.8743467	0.0509779	0.9976058	0.0687255	0.0758301	0.0108000	0.7798487	0.3025296	0.0000024
0.9402921	0.9597388	0.6608046	0.2061520	0.0687255	0.0758301	0.0096033	0.7798487	0.3025282	1.0000000
0.9402891	0.9478634	0.5765074	0.2313947	0.0687255	0.0758301	0.0096003	0.7798487	0.3025292	0.9000132
0.9402882	0.9231896	0.4784223	0.2857059	0.0687255	0.0758301	0.0096000	0.7798487	0.3025295	0.8000036
0.9402881	0.8919063	0.3723801	0.4055511	0.0687255	0.0758301	0.0096000	0.7798488	0.3025296	0.7000020
0.9402881	0.8781262	0.2686346	0.6268604	0.0687255	0.0758301	0.0096000	0.7798488	0.3025296	0.6000026
0.9402882	0.8757204	0.1795097	0.8575081	0.0687255	0.0758301	0.0096000	0.7798487	0.3025295	0.5000089
0.9402882	0.8753477	0.1142332	0.9644352	0.0687255	0.0758301	0.0096000	0.7798487	0.3025295	0.4000107
0.9402885	0.8752852	0.0750039	0.9910740	0.0687255	0.0758301	0.0096000	0.7798487	0.3025294	0.3000340
0.9402885	0.8752720	0.0568632	0.9964892	0.0687255	0.0758301	0.0096000	0.7798487	0.3025294	0.2000388
0.9402885	0.8752693	0.0514965	0.9974991	0.0687255	0.0758301	0.0096000	0.7798487	0.3025294	0.1000437
0.9402880	0.8752679	0.0509779	0.9976058	0.0687255	0.0758301	0.0096000	0.7798488	0.3025296	0.0000024
0.9402921	0.9606945	0.6608046	0.2061520	0.0687255	0.0758301	0.0084035	0.7798487	0.3025282	1.0000000
0.9402890	0.9488141	0.5765074	0.2313947	0.0687255	0.0758301	0.0084003	0.7798487	0.3025292	0.9000132
0.9402882	0.9241279	0.4784223	0.2857059	0.0687255	0.0758301	0.0084000	0.7798488	0.3025295	0.8000036
0.9402880	0.8928288	0.3723801	0.4055511	0.0687255	0.0758301	0.0084000	0.7798488	0.3025296	0.7000020
0.9402880	0.8790417	0.2686346	0.6268604	0.0687255	0.0758301	0.0084000	0.7798488	0.3025296	0.6000026
0.9402882	0.8766347	0.1795097	0.8575081	0.0687255	0.0758301	0.0084000	0.7798488	0.3025295	0.5000089
0.9402882	0.8762619	0.1142332	0.9644352	0.0687255	0.0758301	0.0084000	0.7798488	0.3025295	0.4000107
0.9402885	0.8761993	0.0750039	0.9910740	0.0687255	0.0758301	0.0084001	0.7798487	0.3025294	0.3000340
0.9402885	0.8761861	0.0568632	0.9964892	0.0687255	0.0758301	0.0084001	0.7798487	0.3025294	0.2000388
0.9402885	0.8761833	0.0514965	0.9974991	0.0687255	0.0758301	0.0084001	0.7798487	0.3025294	0.1000437
0.9402880	0.8761820	0.0509779	0.9976058	0.0687255	0.0758301	0.0084000	0.7798488	0.3025296	0.0000024
0.9402921	0.9616412	0.6608046	0.2061520	0.0687255	0.0758301	0.0072037	0.7798487	0.3025282	1.0000000
0.9402890	0.9497560	0.5765074	0.2313947	0.0687255	0.0758301	0.0072003	0.7798487	0.3025293	0.9000132
0.9402882	0.9250575	0.4784223	0.2857059	0.0687255	0.0758301	0.0072000	0.7798488	0.3025295	0.8000036
0.9402880	0.8937427	0.3723801	0.4055511	0.0687255	0.0758301	0.0072000	0.7798488	0.3025296	0.7000020
0.9402880	0.8799487	0.2686346	0.6268604	0.0687255	0.0758301	0.0072000	0.7798488	0.3025296	0.6000026
0.9402882	0.8775404	0.1795097	0.8575081	0.0687255	0.0758301	0.0072000	0.7798488	0.3025295	0.5000089
0.9402882	0.8771674	0.1142332	0.9644352	0.0687255	0.0758301	0.0072000	0.7798488	0.3025295	0.4000107
0.9402885	0.8771048	0.0750039	0.9910740	0.0687255	0.0758301	0.0072001	0.7798487	0.3025294	0.3000340
0.9402885	0.8770916	0.0568632	0.9964892	0.0687255	0.0758301	0.0072001	0.7798487	0.3025294	0.2000388
0.9402885	0.8770888	0.0514965	0.9974991	0.0687255	0.0758301	0.0072001	0.7798487	0.3025294	0.1000437
0.9402880	0.8770875	0.0509779	0.9976058	0.0687255	0.0758301	0.0072000	0.7798488	0.3025296	0.0000024
