G1	G2	G3	G4	G5	G6	G7	G8	G9
0.6545737	0.2967362	0.9479058	0.2611876	1.0000000	0.9999906	0.4793624	1.0000000	0.3724271
0.6644182	0.2939809	0.9479781	0.2611762	1.0000000	0.9999886	0.4690501	0.9500000	0.3729857
0.6758115	0.2908344	0.9476389	0.2612025	1.0000000	0.9999858	0.4571514	0.9000000	0.3736367
0.6888351	0.2873605	0.9465827	0.2612515	1.0000000	0.9999822	0.4434311	0.8500000	0.3743698
0.7035854	0.2836067	0.9442524	0.2613513	1.0000000	0.9999774	0.4276234	0.8000000	0.3751522
0.7201080	0.2796252	0.9399538	0.2615380	1.0000000	0.9999707	0.4094476	0.7500000	0.3759574
0.7382942	0.2755173	0.9326249	0.2618788	1.0000000	0.9999615	0.3886359	0.7000000	0.3767271
0.7578988	0.2713558	0.9211644	0.2624289	1.0000000	0.9999483	0.3649575	0.6500000	0.3774806
0.7783531	0.2672852	0.9037914	0.2633103	1.0000000	0.9999289	0.3382873	0.6000000	0.3781932
0.7988124	0.2634410	0.8782664	0.2647100	1.0000000	0.9998995	0.3086707	0.5500000	0.3788820
0.8180170	0.2600707	0.8414623	0.2670323	1.0000000	0.9998532	0.2764499	0.5000000	0.3794375
0.8347916	0.2572835	0.7909678	0.2708947	1.0000000	0.9997767	0.2423175	0.4500000	0.3798859
0.8481544	0.2551802	0.7263424	0.2773650	1.0000000	0.9996435	0.2074226	0.4000000	0.3801876
0.8578444	0.2536872	0.6524154	0.2878176	1.0000000	0.9993939	0.1733030	0.3500000	0.3804257
0.8641288	0.2527389	0.5799737	0.3030365	1.0000000	0.9988817	0.1418220	0.3000000	0.3805786
0.8677692	0.2521954	0.5218149	0.3209133	1.0000000	0.9976941	0.1148852	0.2500000	0.3806686
0.8696365	0.2519171	0.4847709	0.3362040	1.0000000	0.9944205	0.0942881	0.2000000	0.3807171
0.8704014	0.2518089	0.4665802	0.3452052	1.0000000	0.9827552	0.0825459	0.1500000	0.3807108
0.8696633	0.2519005	0.4603064	0.3484738	1.0000000	0.9193481	0.0955218	0.1000000	0.3807517
0.7112113	0.2816709	0.4487222	0.3547646	1.0000000	0.4512124	0.4202380	0.0500000	0.3756751
0.6632271	0.2942353	0.4505832	0.3537849	1.0000000	0.0954834	0.4710630	0.0000000	0.3730389
0.6546558	0.2967108	0.9480852	0.2611528	0.9501035	0.9999907	0.4793624	1.0000000	0.3724600
0.6645005	0.2939577	0.9479979	0.2611754	0.9500017	0.9999886	0.4690501	0.9500000	0.3729906
0.6758918	0.2908126	0.9476571	0.2612017	0.9500006	0.9999858	0.4571514	0.9000000	0.3736413
0.6889132	0.2873402	0.9465988	0.2612508	0.9500002	0.9999822	0.4434311	0.8500000	0.3743740
0.7036609	0.2835881	0.9442662	0.2613507	0.9500001	0.9999774	0.4276234	0.8000000	0.3751560
0.7201807	0.2796082	0.9399654	0.2615375	0.9500000	0.9999707	0.4094476	0.7500000	0.3759607
0.7383639	0.2755020	0.9326345	0.2618783	0.9500000	0.9999615	0.3886359	0.7000000	0.3767300
0.7579651	0.2713421	0.9211723	0.2624285	0.9500000	0.9999483	0.3649575	0.6500000	0.3774831
0.7784158	0.2672730	0.9037978	0.2633099	0.9500000	0.9999289	0.3382873	0.6000000	0.3781953
0.7988716	0.2634303	0.8782715	0.2647097	0.9500000	0.9998995	0.3086707	0.5500000	0.3788839
0.8180730	0.2600611	0.8414664	0.2670320	0.9500000	0.9998532	0.2764499	0.5000000	0.3794391
0.8348446	0.2572749	0.7909712	0.2708944	0.9500000	0.9997767	0.2423175	0.4500000	0.3798872
0.8482052	0.2551723	0.7263452	0.2773646	0.9500000	0.9996435	0.2074226	0.4000000	0.3801888
0.8578935	0.2536797	0.6524179	0.2878171	0.9500000	0.9993939	0.1733030	0.3500000	0.3804269
0.8641768	0.2527318	0.5799758	0.3030359	0.9500000	0.9988817	0.1418220	0.3000000	0.3805797
0.8678166	0.2521885	0.5218169	0.3209126	0.9500000	0.9976941	0.1148852	0.2500000	0.3806696
0.8696836	0.2519102	0.4847728	0.3362030	0.9500000	0.9944205	0.0942881	0.2000000	0.3807181
0.8704483	0.2518020	0.4665821	0.3452041	0.9500001	0.9827552	0.0825459	0.1500000	0.3807119
0.8697104	0.2518936	0.4603083	0.3484728	0.9500000	0.9193481	0.0955218	0.1000000	0.3807527
0.7112856	0.2816531	0.4487307	0.3547598	0.9500000	0.4512124	0.4202380	0.0500000	0.3756786
0.6633096	0.2942119	0.4505927	0.3537795	0.9500000	0.0954834	0.4710630	0.0000000	0.3730439
0.6547659	0.2966792	0.9481115	0.2611515	0.9000739	0.9999907	0.4793624	1.0000000	0.3724663
0.6646084	0.2939273	0.9480238	0.2611744	0.9000034	0.9999886	0.4690501	0.9500000	0.3729969
0.6759972	0.2907840	0.9476809	0.2612007	0.9000012	0.9999858	0.4571514	0.9000000	0.3736473
0.6890157	0.2873136	0.9466198	0.2612499	0.9000004	0.9999822	0.4434311	0.8500000	0.3743795
0.7037601	0.2835636	0.9442844	0.2613498	0.9000002	0.9999774	0.4276234	0.8000000	0.3751609
0.7202762	0.2795859	0.9399807	0.2615368	0.9000001	0.9999707	0.4094476	0.7500000	0.3759651
0.7384552	0.2754819	0.9326472	0.2618777	0.9000001	0.9999615	0.3886359	0.7000000	0.3767337
0.7580521	0.2713242	0.9211826	0.2624280	0.9000001	0.9999483	0.3649575	0.6500000	0.3774863
0.7784982	0.2672572	0.9038062	0.2633095	0.9000001	0.9999289	0.3382873	0.6000000	0.3781981
0.7989494	0.2634162	0.8782782	0.2647093	0.9000000	0.9998995	0.3086707	0.5500000	0.3788862
0.8181464	0.2600486	0.8414718	0.2670317	0.9000000	0.9998532	0.2764499	0.5000000	0.3794411
0.8349143	0.2572636	0.7909756	0.2708940	0.9000000	0.9997767	0.2423175	0.4500000	0.3798890
0.8482718	0.2551619	0.7263490	0.2773642	0.9000001	0.9996435	0.2074226	0.4000000	0.3801904
0.8579580	0.2536700	0.6524211	0.2878166	0.9000001	0.9993939	0.1733030	0.3500000	0.3804284
0.8642398	0.2527225	0.5799787	0.3030351	0.9000001	0.9988817	0.1418220	0.3000000	0.3805811
0.8678788	0.2521794	0.5218196	0.3209116	0.9000001	0.9976941	0.1148852	0.2500000	0.3806710
0.8697454	0.2519012	0.4847753	0.3362018	0.9000001	0.9944205	0.0942881	0.2000000	0.3807195
0.8705100	0.2517931	0.4665845	0.3452028	0.9000002	0.9827552	0.0825459	0.1500000	0.3807132
0.8697722	0.2518846	0.4603107	0.3484715	0.9000000	0.9193481	0.0955218	0.1000000	0.3807540
0.7113831	0.2816297	0.4487418	0.3547536	0.9000000	0.4512124	0.4202380	0.0500000	0.3756831
0.6634179	0.2941811	0.4506051	0.3537724	0.9000000	0.0954834	0.4710630	0.0000000	0.3730506
0.6549101	0.2966395	0.9481381	0.2611508	0.8501108	0.9999907	0.4793624	1.0000000	0.3724729
0.6647522	0.2938868	0.9480579	0.2611731	0.8500050	0.9999886	0.4690501	0.9500000	0.3730053
0.6761377	0.2907459	0.9477124	0.2611994	0.8500018	0.9999858	0.4571514	0.9000000	0.3736552
0.6891523	0.2872782	0.9466478	0.2612487	0.8500006	0.9999822	0.4434311	0.8500000	0.3743868
0.7038923	0.2835310	0.9443085	0.2613488	0.8500002	0.9999774	0.4276234	0.8000000	0.3751674
0.7204034	0.2795562	0.9400009	0.2615358	0.8500001	0.9999707	0.4094476	0.7500000	0.3759708
0.7385770	0.2754552	0.9326640	0.2618769	0.8500001	0.9999615	0.3886359	0.7000000	0.3767387
0.7581679	0.2713003	0.9211964	0.2624273	0.8500001	0.9999483	0.3649575	0.6500000	0.3774907
0.7786079	0.2672360	0.9038173	0.2633089	0.8500001	0.9999289	0.3382873	0.6000000	0.3782018
0.7990530	0.2633975	0.8782871	0.2647087	0.8500000	0.9998995	0.3086707	0.5500000	0.3788894
0.8182442	0.2600320	0.8414790	0.2670312	0.8500000	0.9998532	0.2764499	0.5000000	0.3794439
0.8350071	0.2572486	0.7909815	0.2708935	0.8500000	0.9997767	0.2423175	0.4500000	0.3798914
0.8483606	0.2551481	0.7263540	0.2773636	0.8500001	0.9996435	0.2074226	0.4000000	0.3801926
0.8580439	0.2536570	0.6524254	0.2878158	0.8500001	0.9993939	0.1733030	0.3500000	0.3804304
0.8643238	0.2527100	0.5799825	0.3030341	0.8500001	0.9988817	0.1418220	0.3000000	0.3805830
0.8679617	0.2521672	0.5218231	0.3209102	0.8500001	0.9976941	0.1148852	0.2500000	0.3806729
0.8698278	0.2518892	0.4847786	0.3362003	0.8500001	0.9944205	0.0942881	0.2000000	0.3807213
0.8705921	0.2517811	0.4665878	0.3452010	0.8500002	0.9827552	0.0825459	0.1500000	0.3807150
0.8698545	0.2518726	0.4603139	0.3484698	0.8500000	0.9193481	0.0955218	0.1000000	0.3807558
0.7115129	0.2815985	0.4487565	0.3547452	0.8500000	0.4512124	0.4202380	0.0500000	0.3756892
0.6635622	0.2941402	0.4506217	0.3537630	0.8500000	0.0954834	0.4710630	0.0000000	0.3730595
0.6551105	0.2965800	0.9481921	0.2611486	0.8000527	0.9999907	0.4793624	1.0000000	0.3724859
0.6649469	0.2938322	0.9481037	0.2611714	0.8000067	0.9999886	0.4690501	0.9500000	0.3730166
0.6763279	0.2906944	0.9477549	0.2611977	0.8000024	0.9999858	0.4571514	0.9000000	0.3736659
0.6893372	0.2872302	0.9466855	0.2612471	0.8000009	0.9999822	0.4434311	0.8500000	0.3743966
0.7040713	0.2834869	0.9443410	0.2613473	0.8000003	0.9999774	0.4276234	0.8000000	0.3751763
0.7205757	0.2795161	0.9400283	0.2615346	0.8000001	0.9999707	0.4094476	0.7500000	0.3759786
0.7387419	0.2754190	0.9326867	0.2618758	0.8000001	0.9999615	0.3886359	0.7000000	0.3767455
0.7583249	0.2712680	0.9212150	0.2624264	0.8000001	0.9999483	0.3649575	0.6500000	0.3774965
0.7787565	0.2672073	0.9038324	0.2633080	0.8000001	0.9999289	0.3382873	0.6000000	0.3782068
0.7991933	0.2633721	0.8782991	0.2647080	0.8000000	0.9998995	0.3086707	0.5500000	0.3788936
0.8183768	0.2600094	0.8414887	0.2670305	0.8000000	0.9998532	0.2764499	0.5000000	0.3794475
0.8351328	0.2572283	0.7909895	0.2708927	0.8000000	0.9997767	0.2423175	0.4500000	0.3798946
0.8484809	0.2551294	0.7263608	0.2773627	0.8000001	0.9996435	0.2074226	0.4000000	0.3801955
0.8581602	0.2536395	0.6524313	0.2878147	0.8000001	0.9993939	0.1733030	0.3500000	0.3804331
0.8644376	0.2526931	0.5799877	0.3030327	0.8000001	0.9988817	0.1418220	0.3000000	0.3805856
0.8680740	0.2521507	0.5218278	0.3209085	0.8000001	0.9976941	0.1148852	0.2500000	0.3806753
0.8699393	0.2518729	0.4847831	0.3361981	0.8000001	0.9944205	0.0942881	0.2000000	0.3807237
