G1	G2	G3	G4	G5	G6	G7	G8	G9
0.6545707	0.2968055	0.9477302	0.2612259	1.0000000	0.9999906	0.4793628	1.0000000	0.3724071
0.6643131	0.2941955	0.9477862	0.2611873	1.0000000	0.9999886	0.4690812	0.9500261	0.3729529
0.6756925	0.2911211	0.9473557	0.2612226	1.0000000	0.9999858	0.4571838	0.9000224	0.3735895
0.6887371	0.2876336	0.9462940	0.2612761	1.0000000	0.9999822	0.4434560	0.8500145	0.3743222
0.7035158	0.2838276	0.9440092	0.2613757	1.0000000	0.9999774	0.4276403	0.8000083	0.3751121
0.7200631	0.2797854	0.9397741	0.2615590	1.0000000	0.9999707	0.4094583	0.7500045	0.3759274
0.7382356	0.2757141	0.9324228	0.2619029	1.0000000	0.9999615	0.3886505	0.7000054	0.3766915
0.7578262	0.2715855	0.9209500	0.2624554	1.0000000	0.9999483	0.3649768	0.6500063	0.3774404
0.7782681	0.2675407	0.9035770	0.2633379	1.0000000	0.9999289	0.3383119	0.6000072	0.3781497
0.7987696	0.2635866	0.8781470	0.2647289	1.0000000	0.9998995	0.3086841	0.5500035	0.3788567
0.8179735	0.2602162	0.8413580	0.2670499	1.0000000	0.9998532	0.2764658	0.5000038	0.3794127
0.8347508	0.2574209	0.7908848	0.2709085	1.0000000	0.9997768	0.2423358	0.4500042	0.3798626
0.8480771	0.2554145	0.7262521	0.2773602	1.0000000	0.9996436	0.2074683	0.4000107	0.3801493
0.8577835	0.2538896	0.6523644	0.2877813	1.0000000	0.9993942	0.1733501	0.3500116	0.3803921
0.8640846	0.2529080	0.5799449	0.3029632	1.0000000	0.9988824	0.1418671	0.3000125	0.3805497
0.8677399	0.2523340	0.5217881	0.3208268	1.0000000	0.9976958	0.1149231	0.2500134	0.3806440
0.8696192	0.2520302	0.4847340	0.3361519	1.0000000	0.9944258	0.0943100	0.2000143	0.3806962
0.8703810	0.2520009	0.4664991	0.3451382	1.0000000	0.9828035	0.0825053	0.1500353	0.3806752
0.8696743	0.2518984	0.4603025	0.3484886	1.0000000	0.9193622	0.0954678	0.1000013	0.3807510
0.7112521	0.2814971	0.4488677	0.3545380	1.0000000	0.4512139	0.4202283	0.0500000	0.3757095
0.6632297	0.2941610	0.4506584	0.3536294	1.0000000	0.0954835	0.4710629	0.0000001	0.3730595
0.6546531	0.2967168	0.9480774	0.2611543	0.9503391	0.9999907	0.4793624	1.0000000	0.3724590
0.6643952	0.2941728	0.9478054	0.2611866	0.9500058	0.9999886	0.4690812	0.9500261	0.3729577
0.6757728	0.2910995	0.9473737	0.2612218	0.9500021	0.9999858	0.4571838	0.9000224	0.3735940
0.6888152	0.2876133	0.9463101	0.2612754	0.9500007	0.9999822	0.4434560	0.8500145	0.3743264
0.7035914	0.2838089	0.9440231	0.2613751	0.9500003	0.9999774	0.4276403	0.8000083	0.3751158
0.7201358	0.2797684	0.9397858	0.2615584	0.9500001	0.9999707	0.4094583	0.7500045	0.3759308
0.7383052	0.2756987	0.9324325	0.2619025	0.9500001	0.9999615	0.3886505	0.7000054	0.3766944
0.7578925	0.2715718	0.9209580	0.2624550	0.9500001	0.9999483	0.3649768	0.6500063	0.3774428
0.7783309	0.2675285	0.9035835	0.2633375	0.9500001	0.9999289	0.3383119	0.6000072	0.3781519
0.7988289	0.2635759	0.8781522	0.2647286	0.9500000	0.9998995	0.3086841	0.5500035	0.3788585
0.8180294	0.2602066	0.8413622	0.2670496	0.9500000	0.9998532	0.2764658	0.5000038	0.3794142
0.8348038	0.2574123	0.7908882	0.2709082	0.9500000	0.9997768	0.2423358	0.4500042	0.3798640
0.8481279	0.2554066	0.7262550	0.2773598	0.9500001	0.9996436	0.2074683	0.4000107	0.3801506
0.8578326	0.2538821	0.6523669	0.2877808	0.9500001	0.9993942	0.1733501	0.3500116	0.3803932
0.8641326	0.2529008	0.5799471	0.3029625	0.9500001	0.9988824	0.1418671	0.3000125	0.3805508
0.8677873	0.2523270	0.5217901	0.3208260	0.9500001	0.9976958	0.1149231	0.2500134	0.3806451
0.8696663	0.2520233	0.4847359	0.3361510	0.9500001	0.9944258	0.0943100	0.2000143	0.3806972
0.8704280	0.2519941	0.4665010	0.3451371	0.9500003	0.9828035	0.0825053	0.1500353	0.3806763
0.8697213	0.2518916	0.4603044	0.3484876	0.9500000	0.9193622	0.0954678	0.1000013	0.3807520
0.7113263	0.2814794	0.4488760	0.3545334	0.9500000	0.4512139	0.4202283	0.0500000	0.3757129
0.6633122	0.2941376	0.4506678	0.3536242	0.9500000	0.0954835	0.4710629	0.0000001	0.3730646
0.6547626	0.2966872	0.9481032	0.2611525	0.9002473	0.9999907	0.4793624	1.0000000	0.3724650
0.6645031	0.2941431	0.9478302	0.2611856	0.9000116	0.9999886	0.4690812	0.9500261	0.3729639
0.6758782	0.2910711	0.9473971	0.2612209	0.9000041	0.9999858	0.4571838	0.9000224	0.3735999
0.6889177	0.2875868	0.9463311	0.2612745	0.9000015	0.9999822	0.4434560	0.8500145	0.3743318
0.7036906	0.2837844	0.9440413	0.2613742	0.9000005	0.9999774	0.4276403	0.8000083	0.3751208
0.7202313	0.2797461	0.9398011	0.2615577	0.9000002	0.9999707	0.4094583	0.7500045	0.3759351
0.7383966	0.2756786	0.9324453	0.2619018	0.9000002	0.9999615	0.3886505	0.7000054	0.3766981
0.7579795	0.2715538	0.9209685	0.2624545	0.9000002	0.9999483	0.3649768	0.6500063	0.3774461
0.7784133	0.2675126	0.9035921	0.2633370	0.9000002	0.9999289	0.3383119	0.6000072	0.3781547
0.7989066	0.2635618	0.8781589	0.2647281	0.9000001	0.9998995	0.3086841	0.5500035	0.3788609
0.8181029	0.2601941	0.8413676	0.2670492	0.9000001	0.9998532	0.2764658	0.5000038	0.3794163
0.8348735	0.2574010	0.7908927	0.2709077	0.9000001	0.9997768	0.2423358	0.4500042	0.3798658
0.8481946	0.2553961	0.7262589	0.2773594	0.9000002	0.9996436	0.2074683	0.4000107	0.3801522
0.8578970	0.2538723	0.6523702	0.2877802	0.9000002	0.9993942	0.1733501	0.3500116	0.3803947
0.8641956	0.2528914	0.5799500	0.3029617	0.9000002	0.9988824	0.1418671	0.3000125	0.3805522
0.8678495	0.2523178	0.5217928	0.3208249	0.9000002	0.9976958	0.1149231	0.2500134	0.3806465
0.8697281	0.2520143	0.4847384	0.3361498	0.9000002	0.9944258	0.0943100	0.2000143	0.3806986
0.8704896	0.2519851	0.4665035	0.3451357	0.9000005	0.9828035	0.0825053	0.1500353	0.3806776
0.8697831	0.2518825	0.4603068	0.3484863	0.9000000	0.9193622	0.0954678	0.1000013	0.3807533
0.7114238	0.2814561	0.4488870	0.3545273	0.9000000	0.4512139	0.4202283	0.0500000	0.3757174
0.6634205	0.2941070	0.4506802	0.3536173	0.9000000	0.0954835	0.4710629	0.0000001	0.3730713
0.6549038	0.2966537	0.9481251	0.2611520	0.8503709	0.9999907	0.4793624	1.0000000	0.3724708
0.6646466	0.2941038	0.9478629	0.2611845	0.8500174	0.9999886	0.4690812	0.9500261	0.3729721
0.6760186	0.2910335	0.9474280	0.2612197	0.8500062	0.9999858	0.4571838	0.9000224	0.3736078
0.6890543	0.2875515	0.9463589	0.2612734	0.8500022	0.9999822	0.4434560	0.8500145	0.3743391
0.7038227	0.2837518	0.9440655	0.2613732	0.8500008	0.9999774	0.4276403	0.8000083	0.3751273
0.7203585	0.2797164	0.9398215	0.2615568	0.8500003	0.9999707	0.4094583	0.7500045	0.3759409
0.7385184	0.2756518	0.9324623	0.2619010	0.8500003	0.9999615	0.3886505	0.7000054	0.3767032
0.7580954	0.2715299	0.9209824	0.2624538	0.8500003	0.9999483	0.3649768	0.6500063	0.3774505
