G1	G2	G3	G4	G5	G6	G7	G8	G9
0.4806446	0.2882692	0.7519377	0.2408889	0.6667553	0.7516182	0.4321624	0.7036688	0.2704408
0.5444645	0.3174571	0.6662713	0.2638643	0.7221723	0.8741271	0.4254004	0.7364436	0.2755284
0.5064207	0.2373394	0.6862208	0.2012474	0.7884417	0.6499103	0.4265556	0.7043095	0.2855219
0.5203379	0.2068513	0.7558966	0.2018364	0.7086764	0.7546356	0.3819851	0.6780358	0.2736469
0.4691275	0.2143371	0.6776531	0.1952168	0.7201433	0.7722262	0.3086781	0.7125205	0.3670982
0.5741370	0.2060678	0.6443291	0.1687554	0.7350501	0.6914814	0.3249922	0.6330397	0.3088620
0.5500032	0.2417758	0.7752911	0.2188997	0.8020200	0.7158099	0.3736236	0.5386438	0.3353947
0.5917209	0.1819529	0.8337323	0.1851193	0.7868380	0.7866870	0.3179246	0.5209298	0.2762981
0.5714017	0.1765305	0.6741177	0.2336126	0.8099183	0.8539207	0.3609210	0.4817153	0.3073091
0.6024166	0.1846869	0.7363497	0.2036254	0.7897189	0.7929341	0.2693413	0.5467369	0.3573453
0.7622883	0.1978723	0.7174829	0.2413605	0.7042183	0.9651751	0.2384525	0.3726253	0.2828079
0.6361822	0.1938419	0.5111260	0.2722424	0.7818031	0.7210330	0.2095851	0.4354124	0.3815163
0.7153739	0.1966225	0.5355003	0.1985278	0.8642284	0.7752790	0.1797474	0.2382454	0.3070079
0.7341461	0.2474921	0.5772889	0.2991621	0.8196707	0.7665322	0.1353944	0.2587877	0.3342468
0.6937744	0.2358456	0.4675761	0.2425664	0.6778456	0.9070700	0.1588801	0.2258981	0.3363188
0.6031408	0.1683272	0.3996171	0.2248572	0.7721981	0.8111357	0.1234200	0.2269985	0.3115050
0.7618097	0.2096355	0.4016260	0.2918186	0.7883339	0.7690048	0.0606210	0.1550932	0.2507218
0.6423468	0.1563707	0.3083112	0.2418903	0.8065031	0.7105527	0.0669096	0.1027963	0.2896980
0.6496251	0.1528923	0.3479557	0.2914571	0.8949512	0.7495539	0.0613387	0.0669459	0.2702110
0.5628210	0.2043790	0.3784104	0.2769071	0.7824640	0.3636425	0.3188164	0.0256610	0.3126486
0.5720891	0.2579982	0.3699006	0.2398130	0.7207915	0.1098306	0.4143652	0.0000002	0.2846816
0.5114139	0.2556149	0.8546080	0.2060423	0.8161656	0.7674316	0.3211651	0.7426827	0.2602514
0.5204479	0.3194678	0.7634843	0.2112132	0.7429405	0.8616604	0.3744888	0.9303565	0.2479721
0.5787542	0.1997841	0.7987057	0.1993800	0.7027149	0.8403106	0.3307917	0.7354815	0.2671472
0.5796062	0.2319133	0.6565811	0.2288250	0.6218081	0.7581605	0.3668823	0.5546767	0.2894152
0.5788746	0.2247818	0.8263773	0.2492781	0.7544147	0.8611758	0.4608272	0.5590443	0.3802996
0.4827017	0.2300401	0.8095171	0.1667272	0.7250080	0.8052380	0.3632388	0.5454570	0.2519041
0.6359128	0.2083141	0.7921491	0.2114051	0.7517072	0.7602830	0.3498454	0.5765648	0.3592112
0.7209421	0.1920984	0.6367456	0.2058458	0.7470792	0.8693227	0.2841699	0.4691676	0.3502627
0.6453342	0.1835069	0.6894070	0.2020695	0.7063560	0.7853284	0.2849763	0.5992901	0.2626336
0.7244854	0.2335780	0.7925375	0.2586203	0.8261228	0.8845187	0.2348061	0.4174911	0.2994205
0.8249610	0.2769524	0.6816488	0.1905951	0.8310017	0.8904519	0.2141639	0.3512472	0.3433864
0.6100055	0.2110299	0.6247796	0.2183965	0.8483050	0.7874635	0.1668660	0.3031809	0.2947493
0.6891255	0.2434138	0.5588531	0.2581028	0.8236139	0.7399133	0.1717701	0.3627318	0.3483031
0.6569211	0.2106335	0.5292111	0.2706150	0.8624436	0.6499850	0.1435700	0.2621659	0.3224605
0.6529244	0.1978782	0.4498727	0.2704459	0.7445475	0.8941936	0.1106823	0.2000838	0.3376310
0.6898064	0.1920160	0.4106832	0.3076450	0.6584113	0.8480231	0.0943806	0.2377044	0.2632737
0.6483071	0.2303416	0.3805600	0.2511879	0.6886055	0.8577323	0.0593961	0.1903301	0.3361960
0.7124244	0.3177415	0.3933369	0.2918918	0.6734712	0.7506542	0.0397286	0.1005331	0.2903245
0.7095908	0.1917610	0.3752805	0.3560096	0.7267664	0.7644506	0.1184750	0.1082151	0.2956211
0.7020041	0.2389099	0.3449088	0.2624712	0.7357963	0.4234009	0.3886492	0.0282097	0.3231395
0.6637297	0.2070247	0.3701512	0.2663090	0.7665050	0.0683725	0.3332666	0.0000002	0.3472347
0.5999258	0.2268075	0.7374106	0.1681068	0.8700717	0.7667651	0.4119706	0.8398893	0.3553886
0.4621580	0.2324008	0.7190071	0.1798762	0.7126138	0.7695114	0.3580581	0.6714510	0.2702876
0.4657174	0.2106113	0.7787308	0.2022368	0.7257349	0.8234481	0.3214252	0.7059264	0.2795536
0.5672838	0.2350278	0.6924372	0.2154967	0.6157803	0.7849951	0.4405000	0.7450916	0.3332124
0.5888809	0.1607617	0.8027672	0.2340652	0.6726128	0.7538465	0.3713043	0.6048170	0.3272131
0.4655664	0.2142643	0.7946123	0.2256221	0.7205066	0.7766892	0.3741960	0.6695119	0.3610226
0.6472558	0.2172620	0.6891354	0.1931886	0.6669928	0.7528946	0.3787346	0.6763912	0.3430557
0.6708934	0.2716185	0.7457412	0.2275884	0.6526478	0.7694519	0.2747775	0.5018439	0.3443625
0.6054956	0.2056772	0.6613729	0.1756675	0.6484287	0.9205839	0.2493706	0.5188181	0.3533356
0.5521032	0.1995593	0.6659119	0.2284967	0.7252636	0.8866538	0.3146635	0.4214910	0.2618158
0.6404516	0.2144215	0.6217837	0.2225765	0.7496779	0.8933365	0.2138346	0.4820531	0.2782610
0.7106813	0.2090310	0.6485566	0.1793406	0.6966566	0.6797507	0.2594272	0.3052068	0.3034477
0.6761919	0.2080498	0.5394404	0.2031855	0.8222664	0.7077420	0.1819758	0.3218145	0.3147573
0.6970264	0.1833838	0.5507054	0.2124150	0.7236171	0.9577128	0.1721787	0.2932381	0.2949029
0.7065541	0.1966126	0.4746808	0.1975099	0.6978073	0.8230954	0.1423710	0.1993037	0.3179341
0.7140354	0.2610535	0.3772164	0.2739044	0.6875982	0.8578193	0.1339072	0.1708668	0.2701031
0.6641226	0.2326967	0.3595101	0.2763185	0.5695170	0.7658095	0.0890413	0.2040115	0.2701105
0.6753921	0.2027151	0.3542719	0.2091813	0.6779327	0.8679453	0.0564565	0.1194792	0.3159535
0.6819533	0.2576475	0.3488666	0.2957734	0.7927659	0.6514684	0.1029797	0.0723015	0.3483139
0.6718766	0.2016152	0.3564807	0.4095146	0.6756457	0.3812225	0.3631273	0.0510490	0.2762526
0.5681068	0.2804929	0.3561733	0.3159544	0.7292096	0.0540162	0.3902282	0.0000000	0.2456438
0.5176497	0.2572474	0.7875453	0.2045422	0.7493672	0.7390841	0.3782943	0.7150756	0.2879509
0.5372276	0.2334421	0.6494369	0.2059639	0.7155555	0.8530493	0.2819003	0.7105736	0.3520630
0.4532347	0.2018024	0.7018505	0.1994602	0.6514527	0.7326510	0.3003615	0.7810883	0.3032420
0.5663408	0.2238804	0.7933435	0.2065578	0.6651806	0.8188260	0.3786148	0.5201653	0.3177710
0.6030163	0.2823653	0.7625281	0.1815616	0.6797115	0.7578968	0.2646669	0.7065550	0.3119141
0.5906053	0.1671301	0.6640548	0.1889520	0.6074442	0.7289683	0.3286009	0.6651570	0.2609801
0.5701052	0.2126095	0.7183391	0.2445831	0.8269891	0.8120424	0.3482176	0.6033423	0.2623534
0.6893937	0.2235190	0.8315437	0.2001981	0.7190621	0.8714992	0.3532861	0.5237241	0.3361761
0.6302992	0.1940887	0.8068062	0.1715116	0.7085849	0.6829331	0.2519006	0.5824046	0.3226126
0.7391871	0.2504824	0.6540515	0.2410830	0.6247756	0.7584613	0.2407994	0.4748665	0.2794479
