G1	G2	G3	G4	G5
1.0000000	0.3479842	0.5131265	0.4400603	0.4672812
1.0000000	0.3479842	0.5131314	0.4400252	0.0000003
1.0000000	0.3479842	0.5131314	0.0000003	0.9999500
1.0000000	0.3479842	0.5131314	0.0000003	0.0000003
1.0000000	0.3479842	0.0000001	0.9999788	0.3480590
1.0000000	0.3479842	0.0000001	0.9999788	0.0000001
1.0000000	0.3479842	0.0000001	0.0000001	0.9999821
1.0000000	0.3479842	0.0000001	0.0000001	0.0000001
1.0000000	0.0000000	0.9999951	0.3480058	0.5129793
1.0000000	0.0000001	0.9999862	0.3480353	0.0000001
1.0000000	0.0000003	0.9999614	0.0000003	0.9999500
1.0000000	0.0000003	0.9999614	0.0000003	0.0000003
1.0000000	0.0000001	0.0000001	0.9999788	0.3480590
1.0000000	0.0000001	0.0000001	0.9999788	0.0000001
1.0000000	0.0000001	0.0000001	0.0000001	0.9999821
1.0000000	0.0000001	0.0000001	0.0000001	0.0000001
0.8000002	0.3738973	0.4988219	0.4446140	0.4657931
0.8000000	0.3739095	0.4986827	0.4449029	0.0000003
0.8000000	0.3739095	0.4986827	0.0000003	0.9999500
0.8000000	0.3739095	0.4986827	0.0000003	0.0000003
0.8000000	0.3739099	0.0000001	0.9999788	0.3480590
0.8000000	0.3739099	0.0000001	0.9999788	0.0000001
0.8000000	0.3739099	0.0000001	0.0000001	0.9999821
0.8000000	0.3739099	0.0000001	0.0000001	0.0000001
0.8000000	0.0000000	0.9999951	0.3480058	0.5129793
0.8000000	0.0000001	0.9999862	0.3480353	0.0000001
0.8000000	0.0000003	0.9999614	0.0000003	0.9999500
0.8000000	0.0000003	0.9999614	0.0000003	0.0000003
0.8000000	0.0000001	0.0000001	0.9999788	0.3480590
0.8000000	0.0000001	0.0000001	0.9999788	0.0000001
0.8000000	0.0000001	0.0000001	0.0000001	0.9999821
0.8000000	0.0000001	0.0000001	0.0000001	0.0000001
0.6000000	0.4144925	0.4786995	0.4519014	0.4628389
0.6000000	0.4144958	0.4786553	0.4520266	0.0000003
0.6000000	0.4144958	0.4786553	0.0000003	0.9999500
0.6000000	0.4144958	0.4786553	0.0000003	0.0000003
0.6000000	0.4144970	0.0000001	0.9999788	0.3480590
0.6000000	0.4144970	0.0000001	0.9999788	0.0000001
0.6000000	0.4144970	0.0000001	0.0000001	0.9999821
0.6000000	0.4144970	0.0000001	0.0000001	0.0000001
0.6000000	0.0000000	0.9999951	0.3480058	0.5129793
0.6000000	0.0000001	0.9999862	0.3480353	0.0000001
0.6000000	0.0000003	0.9999614	0.0000003	0.9999500
0.6000000	0.0000003	0.9999614	0.0000003	0.0000003
0.6000000	0.0000001	0.0000001	0.9999788	0.3480590
0.6000000	0.0000001	0.0000001	0.9999788	0.0000001
0.6000000	0.0000001	0.0000001	0.0000001	0.9999821
0.6000000	0.0000001	0.0000001	0.0000001	0.0000001
0.4000000	0.4854498	0.4496759	0.4632825	0.4582247
0.4000000	0.4854498	0.4496759	0.4632825	0.0000001
0.4000000	0.4854467	0.4497146	0.0000003	0.9999500
0.4000000	0.4854467	0.4497146	0.0000003	0.0000003
0.4000000	0.4854498	0.0000001	0.9999788	0.3480590
0.4000000	0.4854498	0.0000001	0.9999788	0.0000001
0.4000000	0.4854498	0.0000001	0.0000001	0.9999821
0.4000000	0.4854498	0.0000001	0.0000001	0.0000001
0.4000000	0.0000000	0.9999951	0.3480058	0.5129793
0.4000000	0.0000001	0.9999862	0.3480353	0.0000001
0.4000000	0.0000003	0.9999614	0.0000003	0.9999500
0.4000000	0.0000003	0.9999614	0.0000003	0.0000003
0.4000000	0.0000001	0.0000001	0.9999788	0.3480590
0.4000000	0.0000001	0.0000001	0.9999788	0.0000001
0.4000000	0.0000001	0.0000001	0.0000001	0.9999821
0.4000000	0.0000001	0.0000001	0.0000001	0.0000001
