G1	G2	G3	G4	G5
1.0000000	0.3479852	0.5131043	0.4401364	0.4671341
1.0000000	0.3479842	0.5131314	0.4400252	0.0000057
1.0000000	0.3479842	0.5131314	0.0000054	0.9996655
1.0000000	0.3479842	0.5131314	0.0000054	0.0000057
1.0000000	0.3479842	0.0000023	0.9998439	0.3482524
1.0000000	0.3479842	0.0000023	0.9998439	0.0000021
1.0000000	0.3479842	0.0000023	0.0000020	0.9998666
1.0000000	0.3479842	0.0000023	0.0000020	0.0000021
1.0000000	0.0000006	0.9999590	0.3480688	0.5127279
1.0000000	0.0000015	0.9998954	0.3481703	0.0000021
1.0000000	0.0000042	0.9997370	0.0000054	0.9996655
1.0000000	0.0000042	0.9997370	0.0000054	0.0000057
1.0000000	0.0000015	0.0000023	0.9998439	0.3482524
1.0000000	0.0000015	0.0000023	0.9998439	0.0000021
1.0000000	0.0000015	0.0000023	0.0000020	0.9998666
1.0000000	0.0000015	0.0000023	0.0000020	0.0000021
0.8000047	0.3738325	0.4990999	0.4443034	0.4660198
0.8000001	0.3739052	0.4987167	0.4448355	0.0000057
0.8000001	0.3739052	0.4987167	0.0000054	0.9996655
0.8000001	0.3739052	0.4987167	0.0000054	0.0000057
0.8000000	0.3739082	0.0000023	0.9998439	0.3482524
0.8000000	0.3739082	0.0000023	0.9998439	0.0000021
0.8000000	0.3739082	0.0000023	0.0000020	0.9998666
0.8000000	0.3739082	0.0000023	0.0000020	0.0000021
0.8000000	0.0000006	0.9999590	0.3480688	0.5127279
0.8000000	0.0000015	0.9998954	0.3481703	0.0000021
0.8000001	0.0000042	0.9997370	0.0000054	0.9996655
0.8000001	0.0000042	0.9997370	0.0000054	0.0000057
0.8000000	0.0000015	0.0000023	0.9998439	0.3482524
0.8000000	0.0000015	0.0000023	0.9998439	0.0000021
0.8000000	0.0000015	0.0000023	0.0000020	0.9998666
0.8000000	0.0000015	0.0000023	0.0000020	0.0000021
0.6000008	0.4144593	0.4788813	0.4515889	0.4631585
0.6000002	0.4144826	0.4787428	0.4518470	0.0000057
0.6000002	0.4144826	0.4787428	0.0000054	0.9996655
0.6000002	0.4144826	0.4787428	0.0000054	0.0000057
0.6000001	0.4144918	0.0000023	0.9998439	0.3482524
0.6000001	0.4144918	0.0000023	0.9998439	0.0000021
0.6000001	0.4144918	0.0000023	0.0000020	0.9998666
0.6000001	0.4144918	0.0000023	0.0000020	0.0000021
0.6000000	0.0000006	0.9999590	0.3480688	0.5127279
0.6000001	0.0000015	0.9998954	0.3481703	0.0000021
0.6000002	0.0000042	0.9997370	0.0000054	0.9996655
0.6000002	0.0000042	0.9997370	0.0000054	0.0000057
0.6000001	0.0000015	0.0000023	0.9998439	0.3482524
0.6000001	0.0000015	0.0000023	0.9998439	0.0000021
0.6000001	0.0000015	0.0000023	0.0000020	0.9998666
0.6000001	0.0000015	0.0000023	0.0000020	0.0000021
0.4000001	0.4854363	0.4497573	0.4630722	0.4585056
0.4000001	0.4854363	0.4497573	0.4630722	0.0000021
0.4000003	0.4854123	0.4498879	0.0000054	0.9996655
0.4000003	0.4854123	0.4498879	0.0000054	0.0000057
0.4000001	0.4854363	0.0000023	0.9998439	0.3482524
0.4000001	0.4854363	0.0000023	0.9998439	0.0000021
0.4000001	0.4854363	0.0000023	0.0000020	0.9998666
0.4000001	0.4854363	0.0000023	0.0000020	0.0000021
0.4000000	0.0000006	0.9999590	0.3480688	0.5127279
0.4000001	0.0000015	0.9998954	0.3481703	0.0000021
0.4000003	0.0000042	0.9997370	0.0000054	0.9996655
0.4000003	0.0000042	0.9997370	0.0000054	0.0000057
0.4000001	0.0000015	0.0000023	0.9998439	0.3482524
0.4000001	0.0000015	0.0000023	0.9998439	0.0000021
0.4000001	0.0000015	0.0000023	0.0000020	0.9998666
0.4000001	0.0000015	0.0000023	0.0000020	0.0000021
0.2000000	0.6329777	0.4064058	0.4820744	0.4513752
0.2000000	0.6329777	0.4064058	0.4820744	0.0000008
0.2000001	0.6329513	0.4065135	0.0000020	0.9998666
0.2000001	0.6329513	0.4065135	0.0000020	0.0000021
0.2000001	0.6329513	0.0000023	0.9998439	0.3482524
0.2000001	0.6329513	0.0000023	0.9998439	0.0000021
0.2000001	0.6329513	0.0000023	0.0000020	0.9998666
0.2000001	0.6329513	0.0000023	0.0000020	0.0000021
0.2000000	0.0000006	0.9999590	0.3480688	0.5127279
0.2000001	0.0000015	0.9998954	0.3481703	0.0000021
0.2000004	0.0000042	0.9997370	0.0000054	0.9996655
0.2000004	0.0000042	0.9997370	0.0000054	0.0000057
0.2000001	0.0000015	0.0000023	0.9998439	0.3482524
0.2000001	0.0000015	0.0000023	0.9998439	0.0000021
0.2000001	0.0000015	0.0000023	0.0000020	0.9998666
0.2000001	0.0000015	0.0000023	0.0000020	0.0000021
0.0000000	0.9999866	0.3480278	0.5128535	0.4405557
0.0000000	0.9999866	0.3480278	0.5128535	0.0000003
0.0000002	0.9999045	0.3482141	0.0000020	0.9998666
0.0000002	0.9999045	0.3482141	0.0000020	0.0000021
0.0000002	0.9999045	0.0000023	0.9998439	0.3482524
0.0000002	0.9999045	0.0000023	0.9998439	0.0000021
0.0000002	0.9999045	0.0000023	0.0000020	0.9998666
0.0000002	0.9999045	0.0000023	0.0000020	0.0000021
