G1	G2	G3	G4	G5
0.8071766	0.3236745	0.3285047	0.3469944	0.3877126
0.8422832	0.3573308	0.4609025	0.3266228	0.0000023
0.8404051	0.2035777	0.3600740	0.0000021	0.7555454
0.7992978	0.2479548	0.4606909	0.0000027	0.0000010
0.6874251	0.2304597	0.0000037	0.8015255	0.2498400
0.8487823	0.2742874	0.0000020	0.7272267	0.0000088
0.9155268	0.2404093	0.0000025	0.0000025	0.8851650
0.8363804	0.2642185	0.0000009	0.0000019	0.0000009
0.7722209	0.0000001	0.7062052	0.3052699	0.4332133
0.8378526	0.0000011	0.8691909	0.3133498	0.0000064
0.7533528	0.0000044	0.8816343	0.0000008	0.8097025
0.8316866	0.0000010	0.9515428	0.0000022	0.0000090
0.9251144	0.0000010	0.0000015	0.8056339	0.2254591
0.7919678	0.0000007	0.0000032	0.7337573	0.0000046
0.7617456	0.0000011	0.0000003	0.0000009	0.7954728
0.7373466	0.0000015	0.0000024	0.0000018	0.0000007
0.6184961	0.2806105	0.4244527	0.3476015	0.3866602
0.5713697	0.3229528	0.3397093	0.4103021	0.0000014
0.6334576	0.3649225	0.4019241	0.0000062	0.8882237
0.5502247	0.3397813	0.4161500	0.0000027	0.0000016
0.6374033	0.2934826	0.0000032	0.6961540	0.3182983
0.6291752	0.2684688	0.0000005	0.8482167	0.0000035
0.7181190	0.2771814	0.0000014	0.0000009	0.8500777
0.6643086	0.2807237	0.0000022	0.0000020	0.0000023
0.5745163	0.0000001	0.9628455	0.3520382	0.3856645
0.5875759	0.0000028	0.7817148	0.3219103	0.0000016
0.5925503	0.0000050	0.9091782	0.0000042	0.7960588
0.6872641	0.0000041	0.8643151	0.0000035	0.0000063
0.6110390	0.0000004	0.0000064	0.8049364	0.2552011
0.5424351	0.0000002	0.0000016	0.8015408	0.0000021
0.6877219	0.0000005	0.0000008	0.0000006	0.7870428
0.6694425	0.0000007	0.0000006	0.0000012	0.0000076
0.5407229	0.3977550	0.3919516	0.2925451	0.3265782
0.5111247	0.3733479	0.4999848	0.5229356	0.0000058
0.4607611	0.3588332	0.3790823	0.0000048	0.9670194
0.5003384	0.4053588	0.3251890	0.0000087	0.0000059
0.5235980	0.3088658	0.0000047	0.8357380	0.2797990
0.4826382	0.3254278	0.0000030	0.8217270	0.0000019
0.5246573	0.2936353	0.0000046	0.0000077	0.7729212
0.4919232	0.3823359	0.0000010	0.0000011	0.0000011
0.4732035	0.0000003	0.6971101	0.2821146	0.4442860
