G1	G2	G3	G4	G5
1.0000000	0.3479852	0.5131043	0.4401364	0.4671341
1.0000000	0.3479842	0.5131314	0.4400252	0.0000057
1.0000000	0.3479842	0.5131314	0.0000054	0.9996655
1.0000000	0.3479842	0.5131314	0.0000054	0.0000057
1.0000000	0.3479842	0.0000023	0.9998439	0.3482524
1.0000000	0.3479842	0.0000023	0.9998439	0.0000021
1.0000000	0.3479842	0.0000023	0.0000020	0.9998666
1.0000000	0.3479842	0.0000023	0.0000020	0.0000021
1.0000000	0.0000006	0.9999590	0.3480688	0.5127279
1.0000000	0.0000015	0.9998954	0.3481703	0.0000021
1.0000000	0.0000042	0.9997370	0.0000054	0.9996655
1.0000000	0.0000042	0.9997370	0.0000054	0.0000057
1.0000000	0.0000015	0.0000023	0.9998439	0.3482524
1.0000000	0.0000015	0.0000023	0.9998439	0.0000021
1.0000000	0.0000015	0.0000023	0.0000020	0.9998666
1.0000000	0.0000015	0.0000023	0.0000020	0.0000021
0.9903061	0.3487325	0.5129320	0.4400550	0.4673599
0.9900000	0.3490522	0.5125089	0.4402289	0.0000057
0.9900000	0.3490522	0.5125089	0.0000054	0.9996655
0.9900000	0.3490522	0.5125089	0.0000054	0.0000057
0.9900000	0.3490523	0.0000023	0.9998439	0.3482524
0.9900000	0.3490523	0.0000023	0.9998439	0.0000021
0.9900000	0.3490523	0.0000023	0.0000020	0.9998666
0.9900000	0.3490523	0.0000023	0.0000020	0.0000021
0.9900000	0.0000006	0.9999590	0.3480688	0.5127279
0.9900000	0.0000015	0.9998954	0.3481703	0.0000021
0.9900000	0.0000042	0.9997370	0.0000054	0.9996655
0.9900000	0.0000042	0.9997370	0.0000054	0.0000057
0.9900000	0.0000015	0.0000023	0.9998439	0.3482524
0.9900000	0.0000015	0.0000023	0.9998439	0.0000021
0.9900000	0.0000015	0.0000023	0.0000020	0.9998666
0.9900000	0.0000015	0.0000023	0.0000020	0.0000021
0.9801955	0.3498033	0.5124832	0.4401189	0.4673705
0.9800000	0.3501404	0.5118774	0.4404358	0.0000057
0.9800000	0.3501404	0.5118774	0.0000054	0.9996655
0.9800000	0.3501404	0.5118774	0.0000054	0.0000057
0.9800000	0.3501406	0.0000023	0.9998439	0.3482524
0.9800000	0.3501406	0.0000023	0.9998439	0.0000021
0.9800000	0.3501406	0.0000023	0.0000020	0.9998666
0.9800000	0.3501406	0.0000023	0.0000020	0.0000021
0.9800000	0.0000006	0.9999590	0.3480688	0.5127279
0.9800000	0.0000015	0.9998954	0.3481703	0.0000021
0.9800000	0.0000042	0.9997370	0.0000054	0.9996655
0.9800000	0.0000042	0.9997370	0.0000054	0.0000057
0.9800000	0.0000015	0.0000023	0.9998439	0.3482524
0.9800000	0.0000015	0.0000023	0.9998439	0.0000021
0.9800000	0.0000015	0.0000023	0.0000020	0.9998666
0.9800000	0.0000015	0.0000023	0.0000020	0.0000021
0.9700909	0.3510017	0.5118263	0.4402623	0.4673530
0.9700000	0.3512492	0.5112365	0.4406462	0.0000057
0.9700000	0.3512492	0.5112365	0.0000054	0.9996655
0.9700000	0.3512492	0.5112365	0.0000054	0.0000057
0.9700000	0.3512496	0.0000023	0.9998439	0.3482524
0.9700000	0.3512496	0.0000023	0.9998439	0.0000021
0.9700000	0.3512496	0.0000023	0.0000020	0.9998666
0.9700000	0.3512496	0.0000023	0.0000020	0.0000021
0.9700000	0.0000006	0.9999590	0.3480688	0.5127279
0.9700000	0.0000015	0.9998954	0.3481703	0.0000021
0.9700000	0.0000042	0.9997370	0.0000054	0.9996655
0.9700000	0.0000042	0.9997370	0.0000054	0.0000057
0.9700000	0.0000015	0.0000023	0.9998439	0.3482524
0.9700000	0.0000015	0.0000023	0.9998439	0.0000021
0.9700000	0.0000015	0.0000023	0.0000020	0.9998666
0.9700000	0.0000015	0.0000023	0.0000020	0.0000021
0.9601212	0.3520443	0.5113799	0.4403426	0.4673400
0.9600000	0.3523793	0.5105862	0.4408601	0.0000057
0.9600000	0.3523793	0.5105862	0.0000054	0.9996655
0.9600000	0.3523793	0.5105862	0.0000054	0.0000057
0.9600000	0.3523797	0.0000023	0.9998439	0.3482524
0.9600000	0.3523797	0.0000023	0.9998439	0.0000021
0.9600000	0.3523797	0.0000023	0.0000020	0.9998666
0.9600000	0.3523797	0.0000023	0.0000020	0.0000021
0.9600000	0.0000006	0.9999590	0.3480688	0.5127279
0.9600000	0.0000015	0.9998954	0.3481703	0.0000021
0.9600000	0.0000042	0.9997370	0.0000054	0.9996655
0.9600000	0.0000042	0.9997370	0.0000054	0.0000057
0.9600000	0.0000015	0.0000023	0.9998439	0.3482524
0.9600000	0.0000015	0.0000023	0.9998439	0.0000021
0.9600000	0.0000015	0.0000023	0.0000020	0.9998666
0.9600000	0.0000015	0.0000023	0.0000020	0.0000021
0.9500459	0.3533373	0.5105201	0.4406009	0.4672771
0.9500000	0.3535312	0.5099262	0.4410776	0.0000057
0.9500000	0.3535312	0.5099262	0.0000054	0.9996655
0.9500000	0.3535312	0.5099262	0.0000054	0.0000057
0.9500000	0.3535317	0.0000023	0.9998439	0.3482524
0.9500000	0.3535317	0.0000023	0.9998439	0.0000021
0.9500000	0.3535317	0.0000023	0.0000020	0.9998666
0.9500000	0.3535317	0.0000023	0.0000020	0.0000021
