G1	G2	G3	G4	G5
1.1416701	0.3817691	0.5003425	0.4903301	0.4969433
0.9869162	0.3252407	0.5279918	0.3320327	0.0000000
1.0728775	0.3131975	0.5771402	0.0000000	1.1144832
1.0605800	0.3830828	0.5614548	0.0000000	0.0000000
1.0745746	0.4476095	0.0000000	1.1090194	0.3611076
0.9885800	0.3684535	0.0000000	1.0839175	0.0000000
1.0308184	0.4010540	0.0000000	0.0000000	0.9219848
1.0543053	0.3117788	0.0000000	0.0000000	0.0000000
1.0604567	0.0000000	0.9120419	0.3626968	0.5240000
1.0091720	0.0000000	1.0004047	0.3247355	0.0000000
1.0140620	0.0000000	1.0096413	0.0000000	1.0265208
0.9622080	0.0000000	0.9911617	0.0000000	0.0000000
1.1106538	0.0000000	0.0000000	0.9697091	0.3949104
0.9267275	0.0000000	0.0000000	0.9437309	0.0000000
0.9259221	0.0000000	0.0000000	0.0000000	0.9536890
0.9692773	0.0032942	0.0000000	0.0000000	0.0000000
1.0949512	0.3381400	0.5005434	0.4307503	0.4595355
0.9759122	0.3164398	0.5839787	0.3771129	0.0000000
1.0250704	0.3716122	0.5530066	0.0000000	1.0587573
1.0587780	0.3338736	0.5035823	0.0000000	0.0000000
1.0558267	0.4447441	0.0000000	1.0475820	0.3467931
1.0057176	0.3927282	0.0015310	1.0277535	0.0000000
0.9450054	0.3476834	0.0017855	0.0000000	1.0536251
0.9639070	0.3791603	0.0000000	0.0000000	0.0000000
0.9052370	0.0000000	0.9508645	0.3404030	0.4430289
1.0249395	0.0020864	0.9817847	0.3351130	0.0000000
1.1022059	0.0000000	0.9297793	0.0000000	0.9025491
0.9156482	0.0000000	1.0289454	0.0000000	0.0000000
0.9067550	0.0000000	0.0000000	1.0439636	0.3220333
0.9627945	0.0065870	0.0000000	0.9687333	0.0019638
0.9921163	0.0000000	0.0000000	0.0000000	1.0333241
1.0901306	0.0000000	0.0000000	0.0026306	0.0000000
1.0110234	0.3161705	0.5338255	0.4546211	0.4257244
1.0994862	0.3264828	0.5339754	0.4295455	0.0000000
0.9882969	0.2967247	0.6123876	0.0000000	1.0471266
1.0040043	0.3100393	0.5002780	0.0000000	0.0000000
0.9638841	0.3578184	0.0000000	0.9912177	0.3391420
1.0172952	0.3397144	0.0000000	1.0412559	0.0000000
1.0481993	0.3999390	0.0000000	0.0000000	0.9487513
0.9053986	0.3034511	0.0000000	0.0000000	0.0000000
1.0019935	0.0000000	0.9600403	0.3467056	0.4990559
1.0035628	0.0000000	1.0229811	0.3217636	0.0000000
0.8791669	0.0000000	0.9427023	0.0000000	1.0237170
0.9046105	0.0000000	0.9406008	0.0000000	0.0000000
0.9636955	0.0000000	0.0000000	1.0632957	0.2994967
1.0467591	0.0000000	0.0000000	1.0229562	0.0000000
0.9422054	0.0000000	0.0000000	0.0000000	1.1131372
0.9850798	0.0000000	0.0000000	0.0000000	0.0000000
0.9795994	0.3636552	0.5235956	0.4154643	0.4416192
1.0222161	0.3432152	0.5512346	0.4174724	0.0000000
1.0473615	0.3881594	0.5139775	0.0000000	0.9552300
0.9999308	0.3635289	0.5847873	0.0000000	0.0000000
0.9904839	0.3943270	0.0000000	1.0146017	0.3842874
1.0136418	0.3507605	0.0000000	1.0361699	0.0000000
0.9870804	0.3922880	0.0000000	0.0000000	0.9457199
0.9324025	0.3833845	0.0000000	0.0000000	0.0000000
0.9637254	0.0000000	0.9496332	0.3876477	0.4339186
0.9251884	0.0000000	1.0503422	0.3644014	0.0000000
0.9254326	0.0000000	0.9698858	0.0000000	0.9526046
0.9259193	0.0000000	1.0396456	0.0000000	0.0025945
0.9307735	0.0000000	0.0000000	1.0778929	0.3366097
0.9935247	0.0000000	0.0000000	1.1331587	0.0000000
0.9984732	0.0000000	0.0000000	0.0000000	1.1304991
0.9467252	0.0000000	0.0000000	0.0002993	0.0000000
0.9506875	0.4018324	0.5180330	0.4880155	0.4255749
0.9250014	0.3873379	0.5015237	0.4702100	0.0000000
1.0004871	0.3239671	0.4652511	0.0000000	0.9301626
0.9715860	0.3611443	0.4900110	0.0000000	0.0000000
0.9518536	0.3866886	0.0000000	0.9797321	0.3250922
0.9187502	0.3978082	0.0000000	1.0407064	0.0012073
0.9780998	0.3577689	0.0000000	0.0000000	0.9345719
1.0061850	0.3947105	0.0000000	0.0000000	0.0000000
0.9612659	0.0000000	1.0548817	0.3829299	0.5085648
0.9261833	0.0000000	0.9927768	0.2979981	0.0000000
0.8391892	0.0000000	0.9584695	0.0000000	1.0750674
0.9869241	0.0000000	1.0260033	0.0000000	0.0000000
1.0797244	0.0000000	0.0000000	0.9074467	0.3414460
0.9513667	0.0000000	0.0000000	1.0345718	0.0000000
0.9636242	0.0000000	0.0000000	0.0000000	0.9923550
0.9248424	0.0000000	0.0000000	0.0000000	0.0000000
0.9729558	0.4254531	0.4824098	0.4705054	0.4834212
0.9712042	0.3770557	0.4668861	0.4270290	0.0000000
0.9559422	0.3903179	0.4563297	0.0000000	0.9676745
0.8904026	0.3553198	0.4986989	0.0000000	0.0000000
0.9338967	0.3883968	0.0000000	1.0992060	0.3663262
0.9120969	0.3994597	0.0000000	1.1104095	0.0002278
1.0089900	0.3095553	0.0000000	0.0000000	0.9141553
0.9270372	0.3195458	0.0000000	0.0000000	0.0000000
1.0464844	0.0000000	0.9838463	0.3289339	0.5830231
0.9287377	0.0000000	0.9616327	0.3014528	0.0002919
0.9741063	0.0000000	1.1221364	0.0000000	1.0701831
0.9315863	0.0000000	1.0066601	0.0000000	0.0000000
1.0130366	0.0000000	0.0000000	1.0633316	0.3123910
0.9419369	0.0000000	0.0000000	1.0032684	0.0000000
1.0134167	0.0000000	0.0000000	0.0000000	1.0203490
0.8303294	0.0000000	0.0000000	0.0000000	0.0000000
0.9155213	0.3354235	0.5240684	0.4846491	0.4664064
0.9333218	0.3433791	0.5202209	0.4257906	0.0011897
1.0197908	0.3047773	0.4841134	0.0000000	0.9547075
0.9268684	0.3922772	0.5075936	0.0000000	0.0000000
0.9844835	0.3418518	0.0000000	0.9461335	0.3180697
0.9748216	0.3260108	0.0000000	1.0610099	0.0000000
1.0229221	0.3579545	0.0000000	0.0000000	1.0625636
0.9382256	0.3560964	0.0000000	0.0000000	0.0000000
0.9028938	0.0000000	1.0293235	0.3536590	0.4889563
1.0251179	0.0000000	0.9402681	0.3418776	0.0000000
0.9145684	0.0000000	1.0201540	0.0000000	1.0751780
0.8948788	0.0000000	0.9929712	0.0000000	0.0000000
0.9715676	0.0000000	0.0000000	1.0690649	0.3118880
0.9627528	0.0000000	0.0000000	0.9605167	0.0000000
1.0492405	0.0000000	0.0000000	0.0000000	1.0240155
0.9751395	0.0000000	0.0000000	0.0000000	0.0000000
0.8269249	0.2967747	0.6271270	0.5384381	0.5035670
0.9266960	0.3387839	0.5815267	0.5158337	0.0000000
0.9454356	0.3587671	0.5345693	0.0000000	1.1046978
0.9317050	0.3849724	0.4600252	0.0000000	0.0000000
0.9435856	0.4013184	0.0000000	1.0173777	0.3279397
0.9614506	0.3460669	0.0000000	0.9876385	0.0000000
0.9045838	0.3460494	0.0000000	0.0000000	1.1036007
0.9610908	0.2961316	0.0000000	0.0000000	0.0000000
0.9192778	0.0000000	0.9478241	0.3415660	0.5641350
0.9842894	0.0000000	0.9258824	0.4030326	0.0000000
0.9279348	0.0000000	1.0557035	0.0000000	0.9380519
1.0513730	0.0040565	1.0804725	0.0000000	0.0000000
0.9867059	0.0000000	0.0000000	1.0340592	0.3748366
0.8739035	0.0000000	0.0000000	0.9775452	0.0000000
0.8879593	0.0000000	0.0000000	0.0000000	0.9842912
0.9954541	0.0000000	0.0000000	0.0000000	0.0000000
0.9100883	0.3306825	0.5706765	0.3876605	0.4069255
0.9667701	0.3719765	0.5143149	0.4517346	0.0004032
0.9215414	0.3379928	0.4547436	0.0000000	1.0290592
0.9810332	0.3954142	0.4615421	0.0030633	0.0000000
1.0191486	0.3272898	0.0000000	1.0083918	0.3300634
0.9543070	0.4401964	0.0000000	0.9726795	0.0000000
0.8470407	0.3930328	0.0000000	0.0000000	1.0831599
0.9892348	0.4045480	0.0000000	0.0000000	0.0000000
0.9394441	0.0000000	1.0272359	0.2997912	0.5294077
0.9413224	0.0000000	1.1058787	0.3537551	0.0000000
0.8974172	0.0000000	1.0444350	0.0000000	0.9932297
0.8930003	0.0000000	1.0380967	0.0038412	0.0007573
1.0122673	0.0000000	0.0000000	0.9564502	0.3386536
1.0033329	0.0000000	0.0000000	1.0108507	0.0000000
0.9818387	0.0000000	0.0000000	0.0000000	1.0377176
0.8878839	0.0000000	0.0000000	0.0000000	0.0000000
0.9319800	0.3705483	0.4806878	0.4597949	0.4326792
0.9138371	0.3913087	0.6044857	0.4280492	0.0000000
0.9872463	0.3543283	0.4854278	0.0000000	1.0316701
0.8468892	0.4500292	0.5488731	0.0000000	0.0000000
0.9161780	0.4316668	0.0000000	1.0922755	0.4054391
0.9032527	0.3624274	0.0000000	1.0833475	0.0000000
0.8777482	0.4202860	0.0000000	0.0000000	1.0708702
1.0336558	0.3695513	0.0000000	0.0000000	0.0000000
0.9341017	0.0000000	0.9568302	0.3859797	0.4432345
0.8900081	0.0000000	0.9669948	0.3513721	0.0000000
0.9960743	0.0000000	1.1091069	0.0000000	1.0296369
0.9662026	0.0000000	0.9868081	0.0000000	0.0000000
0.9710122	0.0000000	0.0000000	1.0464136	0.2846029
0.9472708	0.0000000	0.0000000	0.9874490	0.0000000
0.9725194	0.0000000	0.0000000	0.0000000	1.0485119
0.8786149	0.0000000	0.0000000	0.0000000	0.0000000
0.8390787	0.3832096	0.5577721	0.4133561	0.3973102
0.9827002	0.3682992	0.4814664	0.4642612	0.0000000
0.9122743	0.3786705	0.5244509	0.0000000	0.9972969
0.9075508	0.3178955	0.5858358	0.0000000	0.0000000
0.8494731	0.3855074	0.0000000	1.1310309	0.3636163
0.8104871	0.3573182	0.0018896	0.9349217	0.0000000
0.9549883	0.3628166	0.0000000	0.0000000	0.9059586
0.8806227	0.2947456	0.0000000	0.0000000	0.0000000
0.9980152	0.0000000	0.9799756	0.4126068	0.5476507
0.9706395	0.0000000	1.1243298	0.3944874	0.0000000
0.9230198	0.0000000	1.0771992	0.0000000	1.0795831
1.0053580	0.0000000	0.9525453	0.0000000	0.0028972
0.9884730	0.0000000	0.0000000	0.9153936	0.2982533
0.8247620	0.0000000	0.0000000	0.9579993	0.0000000
0.9568911	0.0000000	0.0000000	0.0000000	1.1135987
0.9047169	0.0000000	0.0000000	0.0000000	0.0000000
0.8052484	0.4092769	0.4857059	0.5151635	0.4484189
0.7807133	0.3574324	0.5597088	0.4463820	0.0024014
0.8572722	0.4254789	0.5241038	0.0000000	0.9912273
0.8662267	0.3151273	0.5314913	0.0000000	0.0000000
0.9609362	0.3268261	0.0000000	1.0874362	0.3439317
0.9200380	0.3213437	0.0000000	0.8615761	0.0000000
0.9077405	0.3339187	0.0000000	0.0000000	0.9807566
0.9773744	0.3866808	0.0000000	0.0000000	0.0000000
