G1	G2	G3
1.0000000	1.0000000	0.5978610
1.0000000	0.9000810	0.5908525
1.0000000	0.8000390	0.5797348
1.0000000	0.7000141	0.5616410
1.0000000	0.6000045	0.5311214
1.0000000	0.5000014	0.4784985
1.0000000	0.4000016	0.3902591
1.0000000	0.3000005	0.2630782
1.0000000	0.2000005	0.1385487
1.0000000	0.1000006	0.0784828
1.0000000	0.0000007	0.0708489
0.9000005	1.0000000	0.6280165
0.9000005	0.9000011	0.6208570
0.9000005	0.8000023	0.6096518
0.9000005	0.7000034	0.5914227
0.9000005	0.6000045	0.5606550
0.9000005	0.5000057	0.5075885
0.9000001	0.4000016	0.4186170
0.9000001	0.3000019	0.2902846
0.9000000	0.2000005	0.1646167
0.9000001	0.1000025	0.1039477
0.9000000	0.0000007	0.0962851
0.8000002	1.0000000	0.6697066
0.8000002	0.9000003	0.6624549
0.8000002	0.8000005	0.6511049
0.8000002	0.7000008	0.6326387
0.8000002	0.6000011	0.6014686
0.8000002	0.5000014	0.5477043
0.8000002	0.4000016	0.4575157
0.8000002	0.3000019	0.3275589
0.8000002	0.2000022	0.2002743
0.8000000	0.1000001	0.1390589
0.8000000	0.0000002	0.1312579
0.7000001	1.0000000	0.7245602
0.7000001	0.9000001	0.7171885
0.7000001	0.8000001	0.7056505
0.7000001	0.7000002	0.6868782
0.7000001	0.6000003	0.6551906
0.7000001	0.5000003	0.6005328
0.7000001	0.4000004	0.5088450
0.7000000	0.3000001	0.3768566
0.7000000	0.2000001	0.2474717
0.7000000	0.1000000	0.1851237
0.7000000	0.0000000	0.1771946
0.6000000	1.0000000	0.7906572
0.6000000	0.9000000	0.7831413
0.6000000	0.8000000	0.7713774
0.6000000	0.7000000	0.7522375
0.6000000	0.6000001	0.7199293
0.6000000	0.5000001	0.6642007
0.6000000	0.4000001	0.5707165
0.6000000	0.3000001	0.4360171
0.6000000	0.2000001	0.3041070
0.6000000	0.1000000	0.2405701
0.6000000	0.0000000	0.2324862
0.5000000	1.0000000	0.8595971
0.5000000	0.9000000	0.8519307
0.5000000	0.8000000	0.8399314
0.5000000	0.7000000	0.8204085
0.5000000	0.6000001	0.7874538
0.5000000	0.5000001	0.7306100
0.5000000	0.4000001	0.6352552
0.5000000	0.3000001	0.4978603
0.5000000	0.2000000	0.3634126
0.5000000	0.1000000	0.2985170
0.5000000	0.0000000	0.2902714
0.4000000	1.0000000	0.9183576
0.4000000	0.9000000	0.9105630
0.4000000	0.8000000	0.8983631
0.4000000	0.7000000	0.8785137
0.4000000	0.6000001	0.8450079
0.4000000	0.5000001	0.7872137
0.4000000	0.4000001	0.6902644
0.4000000	0.3000001	0.5505721
0.4000000	0.2000001	0.4137726
0.4000000	0.1000001	0.3477929
0.4000000	0.0000000	0.3395003
0.3000000	1.0000000	0.9567893
0.3000000	0.9000000	0.9489109
0.3000000	0.8000000	0.9365798
0.3000000	0.7000000	0.9165169
0.3000000	0.6000001	0.8826507
0.3000000	0.5000001	0.8242348
0.3000000	0.4000001	0.7262427
0.3000000	0.3000001	0.5850478
0.3000000	0.2000001	0.4467768
0.3000000	0.1000001	0.3800873
0.3000000	0.0000002	0.3716133
0.2000000	1.0000000	0.9747487
0.2000000	0.9000000	0.9668311
0.2000000	0.8000000	0.9544386
0.2000000	0.7000000	0.9342758
0.2000000	0.6000000	0.9002410
0.2000000	0.5000000	0.8415342
0.2000000	0.4000000	0.7430540
0.2000000	0.3000000	0.6011561
0.2000000	0.2000000	0.4621978
0.2000000	0.1000000	0.3951780
0.2000000	0.0000000	0.3866625
0.1000000	1.0000000	0.9797407
0.1000000	0.9000000	0.9718123
0.1000000	0.8000000	0.9594027
0.1000000	0.7000000	0.9392121
0.1000000	0.6000000	0.9051305
0.1000000	0.5000000	0.8463428
0.1000000	0.4000000	0.7477269
0.1000000	0.3000000	0.6056337
0.1000000	0.2000000	0.4664844
0.1000000	0.1000000	0.3993727
0.1000000	0.0000000	0.3908456
0.0000000	1.0000000	0.9801610
0.0000000	0.9000000	0.9722316
0.0000000	0.8000000	0.9598206
0.0000000	0.7000000	0.9396277
0.0000000	0.6000000	0.9055421
0.0000000	0.5000000	0.8467475
0.0000000	0.4000000	0.7481202
0.0000000	0.3000000	0.6060105
0.0000000	0.2000000	0.4668451
0.0000000	0.1000000	0.3997258
0.0000000	0.0000000	0.3911977
