G1	G2	G3
1.0000000	1.0000000	0.5978442
1.0000000	0.9001919	0.5909962
1.0000000	0.8000926	0.5798751
1.0000000	0.7000335	0.5617428
1.0000000	0.6000108	0.5311869
1.0000000	0.5000032	0.4785374
1.0000000	0.4000039	0.3903339
1.0000000	0.3000011	0.2631087
1.0000000	0.2000012	0.1385761
1.0000000	0.1000014	0.0784944
1.0000000	0.0000016	0.0708523
0.9003610	1.0000000	0.6278273
0.9003610	0.9000027	0.6206721
0.9003610	0.8000054	0.6094760
0.9003610	0.7000081	0.5912653
0.9003610	0.6000108	0.5605357
0.9003610	0.5000134	0.5075455
0.9001632	0.4000039	0.4186104
0.9001632	0.3000045	0.2903198
0.9000738	0.2000012	0.1646099
0.9001632	0.1000058	0.1039213
0.9000738	0.0000016	0.0962549
0.8003265	1.0000000	0.6694711
0.8003265	0.9000006	0.6622210
0.8003265	0.8000013	0.6508741
0.8003265	0.7000019	0.6324141
0.8003265	0.6000026	0.6012565
0.8003265	0.5000032	0.5475170
0.8003265	0.4000039	0.4573714
0.8003265	0.3000045	0.3274626
0.8003265	0.2000052	0.2001775
0.8000667	0.1000003	0.1390203
0.8000667	0.0000004	0.1312174
0.7002213	1.0000000	0.7243544
0.7002213	0.9000002	0.7169835
0.7002213	0.8000003	0.7054468
0.7002213	0.7000005	0.6866770
0.7002213	0.6000006	0.6549942
0.7002213	0.5000008	0.6003455
0.7002213	0.4000009	0.5086734
0.7001000	0.3000003	0.3767808
0.7001000	0.2000003	0.2473985
0.7000452	0.1000001	0.1850886
0.7000452	0.0000001	0.1771591
0.6001334	1.0000000	0.7905150
0.6001334	0.9000000	0.7829995
0.6001334	0.8000001	0.7712362
0.6001334	0.7000001	0.7520975
0.6001334	0.6000002	0.7197914
0.6001334	0.5000002	0.6640667
0.6001334	0.4000002	0.5705891
0.6001334	0.3000003	0.4358980
0.6001334	0.2000003	0.3039924
0.6000603	0.1000001	0.2405166
0.6000603	0.0000001	0.2324323
0.5001667	1.0000000	0.8594269
0.5001667	0.9000000	0.8517610
0.5001667	0.8000001	0.8397625
0.5001667	0.7000001	0.8202408
0.5001667	0.6000002	0.7872885
0.5001667	0.5000002	0.7304491
0.5001667	0.4000002	0.6351017
0.5001667	0.3000003	0.4977163
0.5000753	0.2000001	0.3633484
0.5000753	0.1000001	0.2984530
0.5000753	0.0000001	0.2902070
0.4002000	1.0000000	0.9182031
0.4002000	0.9000000	0.9104090
0.4002000	0.8000001	0.8982098
0.4002000	0.7000001	0.8783616
0.4002000	0.6000002	0.8448581
0.4002000	0.5000002	0.7870680
0.4002000	0.4000002	0.6901258
0.4002000	0.3000003	0.5504424
0.4002000	0.2000003	0.4136477
0.4002000	0.1000003	0.3476661
0.4000904	0.0000001	0.3394421
0.3002334	1.0000000	0.9566882
0.3002334	0.9000000	0.9488101
0.3002334	0.8000001	0.9364795
0.3002334	0.7000001	0.9164175
0.3002334	0.6000002	0.8825531
0.3002334	0.5000002	0.8241405
0.3002334	0.4000002	0.7261540
0.3002334	0.3000003	0.5849659
0.3002334	0.2000003	0.4466977
0.3002334	0.1000003	0.3800054
0.3002334	0.0000004	0.3715293
0.2001205	1.0000000	0.9747296
0.2001205	0.9000000	0.9668121
0.2001205	0.8000000	0.9544197
0.2001205	0.7000000	0.9342571
0.2001205	0.6000000	0.9002227
0.2001205	0.5000000	0.8415166
0.2001205	0.4000001	0.7430377
0.2001205	0.3000001	0.6011413
0.2001205	0.2000001	0.4621835
0.2001205	0.1000001	0.3951627
0.2001205	0.0000001	0.3866466
0.1000613	1.0000000	0.9797392
0.1000613	0.9000000	0.9718107
0.1000613	0.8000000	0.9594011
0.1000613	0.7000000	0.9392106
0.1000613	0.6000000	0.9051290
0.1000613	0.5000000	0.8463415
0.1000613	0.4000000	0.7477258
0.1000613	0.3000000	0.6056329
0.1000613	0.2000000	0.4664835
0.1000613	0.1000000	0.3993715
0.1000613	0.0000000	0.3908443
0.0000063	1.0000000	0.9801610
0.0000063	0.9000000	0.9722316
0.0000063	0.8000000	0.9598206
0.0000063	0.7000000	0.9396277
0.0000063	0.6000000	0.9055421
0.0000063	0.5000000	0.8467475
0.0000063	0.4000000	0.7481202
0.0000063	0.3000000	0.6060105
0.0000063	0.2000000	0.4668451
0.0000063	0.1000000	0.3997258
0.0000063	0.0000000	0.3911977
