G6	G7	G8
0.9999860	0.4793753	1.0000000
0.9999902	0.4777489	0.9900308
0.9999899	0.4755582	0.9800034
0.9999895	0.4734475	0.9700012
0.9999891	0.4713639	0.9600016
0.9999886	0.4691174	0.9500005
0.9999881	0.4668903	0.9400006
0.9999876	0.4645995	0.9300007
0.9999871	0.4622433	0.9200008
0.9999865	0.4597259	0.9100002
0.9999859	0.4572196	0.9000002
0.9999852	0.4546411	0.8900002
0.9999845	0.4519885	0.8800003
0.9999838	0.4492596	0.8700003
0.9999831	0.4464522	0.8600003
0.9999822	0.4434826	0.8500001
0.9999814	0.4405039	0.8400001
0.9999805	0.4374398	0.8300001
0.9999795	0.4342881	0.8200001
0.9999785	0.4310464	0.8100001
0.9999774	0.4277126	0.8000001
0.9999762	0.4242843	0.7900001
0.9999750	0.4207593	0.7800001
0.9999737	0.4171353	0.7700001
0.9999723	0.4133368	0.7600000
0.9999708	0.4095033	0.7500000
0.9999692	0.4055641	0.7400000
0.9999675	0.4015174	0.7300000
0.9999656	0.3973610	0.7200000
0.9999637	0.3930932	0.7100000
0.9999615	0.3887121	0.7000000
0.9999593	0.3842162	0.6900000
0.9999569	0.3796040	0.6800000
0.9999542	0.3748743	0.6700000
0.9999514	0.3700260	0.6600000
0.9999483	0.3649961	0.6500000
0.9999450	0.3599048	0.6400000
0.9999415	0.3546931	0.6300000
0.9999376	0.3493609	0.6200000
0.9999335	0.3439085	0.6100000
0.9999290	0.3383366	0.6000000
0.9999241	0.3326464	0.5900000
0.9999187	0.3268393	0.5800000
0.9999129	0.3209174	0.5700000
0.9999066	0.3148832	0.5600000
0.9998996	0.3087398	0.5500000
0.9998920	0.3024907	0.5400000
0.9998836	0.2960943	0.5300000
0.9998744	0.2896456	0.5200000
0.9998644	0.2831059	0.5100000
0.9998533	0.2764814	0.5000000
0.9998410	0.2697790	0.4900000
0.9998274	0.2630062	0.4800000
0.9998123	0.2561716	0.4700000
0.9997956	0.2492841	0.4600000
0.9997769	0.2423536	0.4500000
0.9997561	0.2353907	0.4400000
0.9997327	0.2284066	0.4300000
0.9997065	0.2214133	0.4200000
0.9996770	0.2144234	0.4100000
0.9996437	0.2074500	0.4000000
0.9996060	0.2005071	0.3900000
0.9995632	0.1936089	0.3800000
0.9995140	0.1867420	0.3700000
0.9994581	0.1799775	0.3600000
0.9993939	0.1733030	0.3500000
0.9993199	0.1667338	0.3400000
0.9992342	0.1602856	0.3300000
0.9991346	0.1539739	0.3200000
0.9990183	0.1478143	0.3100000
0.9988817	0.1418220	0.3000000
0.9987206	0.1360121	0.2900000
0.9985293	0.1303992	0.2800000
0.9983009	0.1249978	0.2700000
0.9980264	0.1198219	0.2600000
0.9976941	0.1148852	0.2500000
0.9972890	0.1102015	0.2400000
0.9967908	0.1057846	0.2300000
0.9961730	0.1016490	0.2200000
0.9953994	0.0978107	0.2100000
0.9944205	0.0942881	0.2000000
0.9931798	0.0911097	0.1900000
0.9915603	0.0882886	0.1800000
0.9894334	0.0858756	0.1700000
0.9866594	0.0839049	0.1600000
0.9828397	0.0824936	0.1500000
0.9773979	0.0819144	0.1400000
0.9698762	0.0822497	0.1300000
0.9590732	0.0839815	0.1200000
0.9431971	0.0878997	0.1100000
0.9193481	0.0955218	0.1000000
0.8827885	0.1100841	0.0900000
0.8261917	0.1386319	0.0800000
0.7394625	0.1963662	0.0700000
0.6132539	0.3027015	0.0600000
0.4512639	0.4201190	0.0500000
0.2861079	0.4654550	0.0400000
0.1663876	0.4708521	0.0300000
0.1105743	0.4710936	0.0200000
0.0964730	0.4710697	0.0100000
0.0954916	0.4710624	0.0000000
