G6	G7	G8
0.9999807	0.4794310	1.0000000
0.9999899	0.4780483	0.9907794
0.9999899	0.4757667	0.9802997
0.9999895	0.4736125	0.9701948
0.9999891	0.4715893	0.9602598
0.9999886	0.4692594	0.9501403
0.9999881	0.4670650	0.9401683
0.9999876	0.4648086	0.9301964
0.9999871	0.4624884	0.9202244
0.9999865	0.4598605	0.9101089
0.9999859	0.4573731	0.9001210
0.9999852	0.4548145	0.8901331
0.9999846	0.4521827	0.8801452
0.9999839	0.4494756	0.8701573
0.9999831	0.4466911	0.8601694
0.9999823	0.4436047	0.8500782
0.9999814	0.4406377	0.8400834
0.9999805	0.4375858	0.8300886
0.9999795	0.4344469	0.8200938
0.9999785	0.4312186	0.8100990
0.9999774	0.4278987	0.8001042
0.9999763	0.4244850	0.7901094
0.9999751	0.4209752	0.7801146
0.9999738	0.4173671	0.7701198
0.9999723	0.4134501	0.7600538
0.9999708	0.4096245	0.7500561
0.9999692	0.4056936	0.7400583
0.9999675	0.4016554	0.7300606
0.9999657	0.3975078	0.7200628
0.9999637	0.3932492	0.7100651
0.9999616	0.3888776	0.7000673
0.9999593	0.3843916	0.6900695
0.9999569	0.3797896	0.6800718
0.9999543	0.3750704	0.6700740
0.9999515	0.3702329	0.6600763
0.9999484	0.3650943	0.6500338
0.9999451	0.3600083	0.6400348
0.9999415	0.3548019	0.6300357
0.9999377	0.3494751	0.6200367
0.9999335	0.3440283	0.6100377
0.9999290	0.3384621	0.6000386
0.9999241	0.3327777	0.5900396
0.9999188	0.3269765	0.5800406
0.9999130	0.3210606	0.5700415
0.9999067	0.3150324	0.5600425
0.9998997	0.3088951	0.5500434
0.9998921	0.3026522	0.5400444
0.9998837	0.2961688	0.5300195
0.9998745	0.2897229	0.5200199
0.9998644	0.2831859	0.5100204
0.9998533	0.2765640	0.5000208
0.9998411	0.2698642	0.4900212
0.9998275	0.2630941	0.4800216
0.9998125	0.2562619	0.4700220
0.9997957	0.2493768	0.4600224
0.9997771	0.2424486	0.4500229
0.9997563	0.2354878	0.4400233
0.9997329	0.2285057	0.4300237
0.9997068	0.2215143	0.4200241
0.9996773	0.2145260	0.4100245
0.9996440	0.2075542	0.4000249
0.9996064	0.2006125	0.3900253
0.9995636	0.1937153	0.3800258
0.9995142	0.1867889	0.3700113
0.9994583	0.1800247	0.3600114
0.9993942	0.1733501	0.3500116
0.9993202	0.1667808	0.3400118
0.9992346	0.1603324	0.3300120
0.9991351	0.1540203	0.3200122
0.9990189	0.1478601	0.3100123
0.9988824	0.1418671	0.3000125
0.9987214	0.1360562	0.2900127
0.9985302	0.1304421	0.2800129
0.9983020	0.1250393	0.2700131
0.9980278	0.1198617	0.2600132
0.9976958	0.1149231	0.2500134
0.9972911	0.1102372	0.2400136
0.9967934	0.1058176	0.2300138
0.9961763	0.1016790	0.2200139
0.9954035	0.0978370	0.2100141
0.9944258	0.0943100	0.2000143
0.9931947	0.0911546	0.1900337
0.9915799	0.0883199	0.1800341
0.9894595	0.0858895	0.1700345
0.9867333	0.0839228	0.1600811
0.9829410	0.0824538	0.1500821
0.9774294	0.0818629	0.1400154
0.9698969	0.0822028	0.1300067
0.9590869	0.0839427	0.1200029
0.9432064	0.0878682	0.1100013
0.9193622	0.0954678	0.1000013
0.8827983	0.1100369	0.0900006
0.8261985	0.1385884	0.0800002
0.7394729	0.1962783	0.0700002
0.6132686	0.3025566	0.0600002
0.4513038	0.4198870	0.0500006
0.2861902	0.4653294	0.0400014
0.1664399	0.4708290	0.0300014
0.1105966	0.4710848	0.0200014
0.0964912	0.4710528	0.0100033
0.0955010	0.4710501	0.0000033
