G6	G7	G8
0.8334834	0.3885687	0.6911317
0.7795574	0.3145255	0.8135161
0.7906362	0.4790268	0.7673945
0.7635806	0.3866711	0.7650427
0.8617342	0.3744197	0.6956436
0.8206891	0.4163072	0.7347191
0.8807660	0.4163449	0.7874653
0.8295109	0.4491806	0.8209764
0.8061031	0.2911962	0.6385179
0.7459340	0.4140129	0.8387668
0.7608039	0.4306497	0.7987690
0.7752191	0.4022306	0.7524785
0.8908862	0.3981931	0.6946770
0.8021473	0.3909088	0.8569190
0.8641387	0.3550806	0.7343563
0.9157457	0.3775901	0.6870014
0.8480871	0.4333003	0.6271141
0.8664015	0.3834809	0.6547419
0.7166681	0.3122980	0.7276956
0.8616447	0.5008131	0.6844297
0.9234544	0.3432530	0.5877314
0.6831748	0.4131807	0.5467496
0.8207625	0.3652169	0.6830656
0.8289001	0.3833756	0.5288269
0.8504260	0.2947878	0.6340465
0.8779961	0.2467521	0.6666731
0.7068381	0.3726759	0.6827304
0.7879525	0.3454414	0.6207902
0.8349176	0.3089099	0.5776066
0.9350325	0.2517314	0.5673727
0.8256342	0.3788846	0.6379451
0.7651001	0.3139370	0.5180745
0.8279757	0.3764316	0.5263438
0.8382511	0.3228852	0.5550681
0.7276426	0.2931997	0.5545288
0.7662058	0.2949021	0.5393789
0.8340984	0.2980161	0.5995813
0.7687486	0.3850408	0.4543359
0.7195195	0.2790366	0.4919534
0.7607240	0.2730678	0.5402999
0.8059962	0.3006168	0.5458063
0.6494218	0.2747423	0.5363472
0.8501074	0.3429571	0.4493427
0.8117358	0.2900167	0.5185279
0.8658691	0.2664264	0.4174287
0.7117142	0.2591239	0.4234654
0.8955682	0.2799941	0.4416646
0.7624155	0.2791232	0.4142378
0.8318967	0.2540077	0.5173233
0.8528902	0.2540113	0.4104665
0.7106017	0.2230054	0.4205923
0.8355589	0.2074647	0.3959843
0.9184832	0.2146783	0.3354526
0.7958624	0.2374481	0.3644593
0.7334400	0.2213556	0.3781712
0.8171096	0.2587887	0.4025013
0.8855741	0.2138286	0.3874045
0.8560929	0.2577368	0.3001247
0.7772544	0.1892911	0.3392276
0.7826517	0.2409826	0.3893108
0.7796140	0.1650147	0.2817258
0.7901945	0.1862546	0.3822390
0.7375911	0.1412795	0.3236041
0.7611358	0.1508073	0.2733157
0.7804598	0.1427396	0.3375197
0.6660184	0.1333579	0.3176097
0.9227428	0.1255411	0.2739992
0.7714463	0.1366672	0.3472588
1.0035849	0.1026851	0.3159301
0.8774420	0.1574892	0.2069423
0.7301883	0.1192552	0.2113104
0.8062405	0.0996606	0.2313065
0.8433190	0.0846903	0.2804442
0.7839113	0.0882824	0.1492796
0.8270039	0.0855380	0.2615974
0.7174728	0.0754825	0.1893988
0.8114298	0.1088616	0.2158403
0.7602640	0.1380288	0.1951491
1.0004271	0.0625965	0.2292753
0.8144100	0.0763183	0.1938145
0.7449219	0.0901196	0.2443385
0.8469581	0.0939403	0.1143858
0.8010451	0.0637075	0.1223525
1.0180383	0.1120948	0.1474366
0.8238637	0.0484429	0.1296385
0.7403688	0.0678409	0.1462594
0.8297224	0.0644171	0.1671802
0.6819245	0.0683368	0.1175692
0.7983893	0.0915056	0.0935029
0.7881579	0.0454934	0.0844726
0.8927627	0.0679320	0.0676925
0.7040667	0.0520459	0.0815040
0.6900780	0.1212587	0.1067161
0.5546039	0.1391167	0.0557126
0.4739440	0.2426321	0.0492433
0.3992091	0.2396778	0.0496468
0.1908285	0.4994926	0.0333266
0.1142591	0.3537968	0.0532670
0.0662582	0.3586584	0.0133185
0.0733606	0.3688956	0.0059173
0.0669318	0.3407566	0.0000016
