G5	G6	G7
0.9584879	0.9982050	1.0000000
0.9569309	0.9982245	0.9900056
0.9552127	0.9982163	0.9800112
0.9528895	0.9981994	0.9700026
0.9504370	0.9981782	0.9600005
0.9481165	0.9981620	0.9500007
0.9453966	0.9981358	0.9400001
0.9427507	0.9981154	0.9300001
0.9399545	0.9980936	0.9200002
0.9369985	0.9980703	0.9100002
0.9336270	0.9980344	0.9000000
0.9302836	0.9980058	0.8900000
0.9267454	0.9979749	0.8800000
0.9230003	0.9979416	0.8700000
0.9190354	0.9979056	0.8600000
0.9146279	0.9978547	0.8500000
0.9101565	0.9978108	0.8400000
0.9054196	0.9977632	0.8300000
0.9004011	0.9977113	0.8200000
0.8950837	0.9976548	0.8100000
0.8894495	0.9975930	0.8000000
0.8834795	0.9975254	0.7900000
0.8769628	0.9974357	0.7800000
0.8702425	0.9973519	0.7700000
0.8631233	0.9972595	0.7600000
0.8555833	0.9971572	0.7500000
0.8475996	0.9970438	0.7400000
0.8391489	0.9969176	0.7300000
0.8302076	0.9967768	0.7200000
0.8205948	0.9965994	0.7100000
0.8105871	0.9964193	0.7000000
0.8000168	0.9962163	0.6900000
0.7888609	0.9959863	0.6800000
0.7770974	0.9957249	0.6700000
0.7647057	0.9954265	0.6600000
0.7516671	0.9950843	0.6500000
0.7379654	0.9946900	0.6400000
0.7235873	0.9942336	0.6300000
0.7083859	0.9936623	0.6200000
0.6926207	0.9930329	0.6100000
0.6761636	0.9922919	0.6000000
0.6590201	0.9914141	0.5900000
0.6412025	0.9903680	0.5800000
0.6227302	0.9891133	0.5700000
0.6036306	0.9875984	0.5600000
0.5839396	0.9857568	0.5500000
0.5637021	0.9835030	0.5400000
0.5428702	0.9805999	0.5300000
0.5217062	0.9771188	0.5200000
0.5001858	0.9727682	0.5100000
0.4783902	0.9672964	0.5000000
0.4564087	0.9603748	0.4900000
0.4343376	0.9515765	0.4800000
0.4122788	0.9403519	0.4700000
0.3902813	0.9256276	0.4600000
0.3685661	0.9071761	0.4500000
0.3471862	0.8836816	0.4400000
0.3262223	0.8535937	0.4300000
0.3058291	0.8164446	0.4200000
0.2860661	0.7706825	0.4100000
0.2670452	0.7164303	0.4000000
0.2488339	0.6539573	0.3900000
0.2314956	0.5847518	0.3800000
0.2150960	0.5121864	0.3700000
0.1996733	0.4398217	0.3600000
0.1852575	0.3714821	0.3500000
0.1718653	0.3102495	0.3400000
0.1595011	0.2579467	0.3300000
0.1481552	0.2149867	0.3200000
0.1378129	0.1809988	0.3100000
0.1284441	0.1547298	0.3000000
0.1200138	0.1348441	0.2900000
0.1124747	0.1198911	0.2800000
0.1057796	0.1087571	0.2700000
0.0998750	0.1004894	0.2600000
0.0947048	0.0943474	0.2500000
0.0902111	0.0897719	0.2400000
0.0863356	0.0863488	0.2300000
0.0830205	0.0837749	0.2200000
0.0802091	0.0818295	0.2100000
0.0778497	0.0803797	0.2000000
0.0758841	0.0792512	0.1900000
0.0742662	0.0783890	0.1800000
0.0729500	0.0777301	0.1700000
0.0718930	0.0772275	0.1600000
0.0710563	0.0768458	0.1500000
0.0704045	0.0765581	0.1400000
0.0699060	0.0763436	0.1300000
0.0695326	0.0761860	0.1200000
0.0692597	0.0760724	0.1100000
0.0690659	0.0759924	0.1000000
0.0689328	0.0759378	0.0900000
0.0688452	0.0759019	0.0800000
0.0687905	0.0758794	0.0700000
0.0687585	0.0758661	0.0600000
0.0687414	0.0758589	0.0500000
0.0687332	0.0758552	0.0400000
0.0687300	0.0758536	0.0300000
0.0687291	0.0758530	0.0200000
0.0687289	0.0758526	0.0100000
0.0687288	0.0758523	0.0000000
