G5	G6	G7
0.9583488	0.9981955	1.0000000
0.9571684	0.9982249	0.9902104
0.9557158	0.9982175	0.9804208
0.9533546	0.9982014	0.9701916
0.9507810	0.9981801	0.9600767
0.9485647	0.9981646	0.9500959
0.9456765	0.9981378	0.9400343
0.9430917	0.9981179	0.9300401
0.9403614	0.9980966	0.9200458
0.9374766	0.9980738	0.9100515
0.9338929	0.9980367	0.9000170
0.9305896	0.9980085	0.8900187
0.9270948	0.9979780	0.8800204
0.9233965	0.9979452	0.8700221
0.9194822	0.9979097	0.8600238
0.9148615	0.9978572	0.8500076
0.9104177	0.9978137	0.8400081
0.9057107	0.9977665	0.8300086
0.9007244	0.9977151	0.8200091
0.8954418	0.9976591	0.8100096
0.8898451	0.9975979	0.8000101
0.8839156	0.9975309	0.7900106
0.8771818	0.9974389	0.7800033
0.8704830	0.9973556	0.7700035
0.8633870	0.9972637	0.7600036
0.8558718	0.9971620	0.7500038
0.8479147	0.9970493	0.7400039
0.8394927	0.9969239	0.7300041
0.8305820	0.9967840	0.7200042
0.8207780	0.9966035	0.7100013
0.8107861	0.9964241	0.7000013
0.8002327	0.9962218	0.6900014
0.7890947	0.9959927	0.6800014
0.7773502	0.9957323	0.6700015
0.7649786	0.9954352	0.6600015
0.7519614	0.9950945	0.6500016
0.7382822	0.9947020	0.6400016
0.7239276	0.9942478	0.6300016
0.7085483	0.9936706	0.6200005
0.6927946	0.9930429	0.6100005
0.6763494	0.9923039	0.6000005
0.6592182	0.9914287	0.5900005
0.6414133	0.9903858	0.5800006
0.6229540	0.9891352	0.5700006
0.6038676	0.9876254	0.5600006
0.5841900	0.9857905	0.5500006
0.5639658	0.9835452	0.5400006
0.5429923	0.9806258	0.5300002
0.5218341	0.9771519	0.5200002
0.5003193	0.9728107	0.5100002
0.4785292	0.9673514	0.5000002
0.4565529	0.9604464	0.4900002
0.4344866	0.9516702	0.4800002
0.4124322	0.9404752	0.4700002
0.3903502	0.9257052	0.4600001
0.3686365	0.9072785	0.4500001
0.3472579	0.8838163	0.4400001
0.3262540	0.8536758	0.4300000
0.3058611	0.8165505	0.4200000
0.2860802	0.7707439	0.4100000
0.2670592	0.7165058	0.4000000
0.2488480	0.6540470	0.3900000
0.2315017	0.5847979	0.3800000
0.2151020	0.5122364	0.3700000
0.1996793	0.4398734	0.3600000
0.1852633	0.3715328	0.3500000
0.1718711	0.3102971	0.3400000
0.1595067	0.2579896	0.3300000
0.1481575	0.2150032	0.3200000
0.1378152	0.1810128	0.3100000
0.1284464	0.1547415	0.3000000
0.1200189	0.1348663	0.2900000
0.1124797	0.1199095	0.2800000
0.1057844	0.1087724	0.2700000
0.0998796	0.1005022	0.2600000
0.0947092	0.0943581	0.2500000
0.0902154	0.0897810	0.2400000
0.0863398	0.0863567	0.2300000
0.0830245	0.0837818	0.2200000
0.0802129	0.0818356	0.2100000
0.0778583	0.0803928	0.2000000
0.0758925	0.0792631	0.1900000
0.0742743	0.0784000	0.1800000
0.0729578	0.0777403	0.1700000
0.0719006	0.0772370	0.1600000
0.0710636	0.0768548	0.1500000
0.0704116	0.0765667	0.1400000
0.0699129	0.0763519	0.1300000
0.0695394	0.0761939	0.1200000
0.0692663	0.0760801	0.1100000
0.0690723	0.0759999	0.1000000
0.0689391	0.0759451	0.0900000
0.0688514	0.0759090	0.0800000
0.0687966	0.0758864	0.0700000
0.0687645	0.0758730	0.0600000
0.0687472	0.0758656	0.0500000
0.0687390	0.0758619	0.0400000
0.0687357	0.0758602	0.0300000
0.0687347	0.0758594	0.0200000
0.0687344	0.0758589	0.0100000
0.0687343	0.0758586	0.0000000
