G5	G6	G7
0.7274770	0.8611308	0.7478934
0.7939613	0.8372844	0.8173815
0.7735640	0.7935894	0.8703219
0.6749070	0.7931175	0.6938131
0.7757367	0.8120916	0.8445273
0.7756023	0.7832410	0.7783009
0.8429238	0.8083293	0.7872331
0.9123540	0.7734629	0.8563972
0.7415456	0.8276491	0.6977252
0.6298275	0.7897726	0.7938033
0.7258464	0.7334081	0.7053188
0.8020337	0.7956534	0.7549968
0.8017680	0.8360261	0.7003384
0.8672411	0.6705729	0.6865077
0.6894348	0.8907528	0.8591459
0.9639081	0.7890143	0.6452643
0.7561378	0.7898172	0.7984199
0.7886314	0.9027551	0.6421119
0.7052937	0.7339984	0.7217974
0.8206172	0.7259489	0.8487646
0.7642467	0.7377089	0.6244934
0.6946350	0.7932210	0.5644953
0.6943463	0.8791990	0.6299760
0.7172024	0.8980016	0.5815708
0.6038258	0.9286932	0.6091800
0.7328317	0.9759596	0.6156519
0.7253877	0.8619521	0.6215447
0.7301087	0.7412361	0.6273211
0.7260827	1.0186825	0.5614033
0.7068399	0.7694751	0.5884717
0.5873132	0.7510408	0.5385854
0.5396169	0.9443254	0.5623383
0.6692769	0.8469504	0.7278568
0.7310661	0.9202983	0.5508960
0.7225257	1.1130813	0.5418163
0.5850207	0.8709069	0.6001144
0.5668921	0.7961556	0.4692582
0.6026081	0.8517687	0.5885652
0.5592420	0.8531729	0.4715793
0.5102616	0.6526428	0.4673463
0.4739512	0.7200493	0.6372618
0.5285676	0.8801512	0.4857843
0.4994464	0.7693040	0.4482861
0.4718778	0.7379136	0.5367819
0.5286409	0.7459178	0.4209698
0.5374126	0.8123234	0.4632401
0.5620913	0.9067871	0.3702559
0.4882089	0.6922361	0.3860894
0.3971866	0.8307588	0.4940198
0.3440641	0.7021615	0.4613078
0.3825404	0.9220217	0.3289355
0.4199893	0.8266540	0.3532918
0.3868401	0.7864909	0.3995788
0.4378398	0.8379226	0.4003910
0.2244392	0.8053849	0.2984604
0.3265040	0.7686157	0.4351248
0.2925553	0.6674162	0.3748615
0.2381531	0.7963692	0.3780631
0.2396909	0.6188506	0.2923771
0.3196888	0.6364107	0.3847910
0.1990029	0.5443258	0.3110760
0.2130892	0.5131865	0.3001557
0.2116460	0.4738626	0.2797068
0.1806143	0.3850507	0.2706932
0.1803877	0.3654430	0.2636753
0.1325603	0.3254202	0.3144235
0.1080215	0.3369945	0.2710702
0.1480986	0.2551838	0.2796363
0.1137192	0.2113890	0.3046943
0.1393903	0.1457441	0.2642741
0.0935212	0.0996095	0.2507993
0.0685524	0.0966230	0.2763992
0.0793744	0.0863632	0.1957287
0.1272506	0.0590660	0.2641496
0.0698398	0.0863193	0.1696445
0.0800469	0.0963342	0.1870895
0.1269468	0.0818655	0.2743321
0.0832866	0.0883683	0.1942579
0.0632901	0.0844385	0.1521726
0.0495337	0.0430153	0.1072125
0.0780758	0.0436461	0.1770684
0.0475008	0.0865982	0.1394968
0.0672600	0.1003212	0.1660439
0.0777275	0.0838886	0.1547906
0.0278553	0.0767325	0.1280572
0.0475124	0.0678743	0.1021240
0.0505610	0.0953319	0.0938639
0.0653261	0.0660470	0.0757577
0.0726375	0.0705411	0.0911429
0.0481655	0.0833268	0.0819991
0.0576525	0.0328567	0.0888118
0.0437428	0.0420643	0.1181130
0.0624006	0.0605380	0.0480069
0.0438888	0.0930149	0.0468390
0.0635167	0.0705570	0.0531944
0.0620046	0.0787195	0.1024612
0.0371660	0.0408132	0.0424861
0.0560284	0.1039033	0.0297704
0.0502945	0.0788908	0.0395699
0.0586195	0.0655380	0.0098479
0.0561496	0.0561109	0.0000000
