G6	G7	G8
0.7175362	0.4138810	0.9542239
0.8269420	0.3901235	0.8788489
0.7566564	0.3675689	0.9591331
0.7266200	0.4130857	0.8445774
0.8480976	0.5238165	0.8139964
0.8134133	0.4004927	0.7585288
0.7054616	0.4111495	0.7401083
0.8623212	0.3315955	0.7435097
0.9167334	0.4380653	0.6742290
0.8874729	0.4140511	0.6772622
0.8523498	0.2809040	0.8083968
0.9236450	0.3059597	0.8702823
0.8032811	0.3644069	0.7050502
1.0000000	0.2969540	0.6873127
0.8848900	0.2880251	0.7016393
0.7953227	0.3802766	0.6438012
0.8058189	0.3238443	0.6794761
0.9543013	0.3880010	0.8453017
0.8321567	0.3901307	0.5788221
0.8973304	0.4001787	0.6203922
0.7922431	0.4279950	0.7141953
0.8315012	0.3281790	0.6113609
0.7654182	0.3272824	0.5975746
0.8052940	0.3728980	0.5450109
0.8204613	0.3841222	0.6655236
0.7338894	0.3340104	0.6305412
0.9146009	0.3010692	0.6088328
0.7379594	0.3239849	0.5490055
0.7528517	0.3471646	0.6050175
0.7383107	0.3665973	0.5640810
0.8193642	0.3729455	0.6386904
0.8310134	0.3336943	0.5430037
0.8782609	0.2685982	0.5215497
0.8387492	0.4032208	0.5854615
0.7478676	0.3168547	0.6835198
0.8681231	0.2933070	0.5620744
0.7530125	0.2397655	0.5006031
0.8128639	0.3274721	0.4793083
0.8503707	0.2823293	0.4705746
0.9122669	0.3024443	0.4147710
0.9622656	0.2663647	0.6013087
0.7580007	0.2694743	0.4925661
0.9032602	0.3752007	0.4305164
0.8561599	0.3565923	0.4135671
0.8799342	0.2437572	0.4941439
0.7579904	0.2228130	0.4128213
0.9700887	0.2826803	0.3766970
0.7349648	0.2276173	0.4220796
0.7727537	0.2521373	0.3296644
0.8935492	0.2714011	0.4317953
0.9022697	0.2397867	0.4388199
0.9042883	0.1811732	0.3442057
0.7174730	0.1756474	0.4048650
0.8002801	0.2453544	0.3345520
0.7147421	0.1861510	0.3584894
0.8474306	0.2512490	0.3816846
0.7945175	0.2219293	0.3909586
0.8716459	0.1620841	0.4110572
0.9233731	0.1852164	0.3675658
0.7554130	0.1488566	0.3205798
0.7488244	0.1604618	0.4637295
0.7329807	0.1754497	0.2709509
0.7620778	0.1473902	0.2893945
0.9372348	0.1350288	0.2966129
0.6689977	0.1078818	0.2931246
0.8108234	0.1405993	0.2361734
0.7062864	0.1434456	0.2766149
0.7941310	0.1086496	0.2600603
0.9001754	0.1069753	0.3519757
0.8976881	0.1346617	0.2175594
0.8263571	0.1438738	0.2028403
0.9006524	0.1034609	0.2898106
0.8783286	0.1364822	0.2469209
0.8413531	0.1126207	0.1763386
0.9005214	0.1276720	0.2203662
0.7177141	0.0784199	0.2108492
0.9533270	0.1059396	0.2302768
0.8742012	0.0918344	0.2466704
0.8017138	0.0853527	0.1720596
0.9526552	0.0774432	0.1819224
0.7466372	0.0985091	0.1139459
0.7871784	0.0514108	0.1427050
0.9112832	0.0617602	0.1431834
0.7832986	0.0698995	0.1939755
0.7604721	0.0734197	0.1093698
0.8028655	0.0526132	0.2144206
0.8040254	0.0728973	0.1339968
0.9082787	0.0590798	0.1040631
0.8046455	0.0591252	0.1010116
0.8298738	0.0482373	0.1008728
0.8850502	0.0525289	0.0658167
0.8145996	0.0317712	0.0345601
0.9279700	0.0272868	0.0605423
0.8369148	0.0427235	0.0483068
0.7120109	0.0332256	0.0273366
0.7153500	0.0552543	0.0436807
0.8408422	0.1014535	0.0420663
0.6684731	0.0572733	0.0344389
0.8458331	0.0787663	0.0195373
0.7632219	0.0985654	0.0179398
0.7164972	0.0842954	0.0000000
