G6	G7	G8
0.9999867	0.4793909	1.0000000
0.9999982	0.4777474	0.9900308
0.9999987	0.4755558	0.9800034
0.9999987	0.4734448	0.9700012
0.9999986	0.4713612	0.9600016
0.9999986	0.4691145	0.9500005
0.9999985	0.4668873	0.9400006
0.9999985	0.4645964	0.9300007
0.9999984	0.4622401	0.9200008
0.9999983	0.4597225	0.9100002
0.9999982	0.4572160	0.9000002
0.9999982	0.4546374	0.8900002
0.9999981	0.4519846	0.8800003
0.9999980	0.4492555	0.8700003
0.9999979	0.4464480	0.8600003
0.9999978	0.4434781	0.8500001
0.9999977	0.4404992	0.8400001
0.9999976	0.4374349	0.8300001
0.9999975	0.4342829	0.8200001
0.9999973	0.4310410	0.8100001
0.9999972	0.4277069	0.8000001
0.9999971	0.4242783	0.7900001
0.9999969	0.4207530	0.7800001
0.9999967	0.4171288	0.7700001
0.9999966	0.4133298	0.7600000
0.9999964	0.4094959	0.7500000
0.9999962	0.4055564	0.7400000
0.9999960	0.4015092	0.7300000
0.9999957	0.3973524	0.7200000
0.9999955	0.3930840	0.7100000
0.9999952	0.3887025	0.7000000
0.9999950	0.3842060	0.6900000
0.9999947	0.3795933	0.6800000
0.9999943	0.3748629	0.6700000
0.9999940	0.3700138	0.6600000
0.9999936	0.3649831	0.6500000
0.9999932	0.3598911	0.6400000
0.9999928	0.3546785	0.6300000
0.9999923	0.3493453	0.6200000
0.9999918	0.3438919	0.6100000
0.9999912	0.3383189	0.6000000
0.9999906	0.3326274	0.5900000
0.9999899	0.3268191	0.5800000
0.9999892	0.3208957	0.5700000
0.9999884	0.3148600	0.5600000
0.9999876	0.3087149	0.5500000
0.9999866	0.3024639	0.5400000
0.9999856	0.2960654	0.5300000
0.9999845	0.2896145	0.5200000
0.9999832	0.2830723	0.5100000
0.9999818	0.2764451	0.5000000
0.9999803	0.2697396	0.4900000
0.9999786	0.2629636	0.4800000
0.9999768	0.2561253	0.4700000
0.9999747	0.2492337	0.4600000
0.9999724	0.2422987	0.4500000
0.9999698	0.2353307	0.4400000
0.9999669	0.2283409	0.4300000
0.9999637	0.2213412	0.4200000
0.9999600	0.2143441	0.4100000
0.9999559	0.2073628	0.4000000
0.9999512	0.2004107	0.3900000
0.9999459	0.1935021	0.3800000
0.9999398	0.1866230	0.3700000
0.9999329	0.1798450	0.3600000
0.9999249	0.1731548	0.3500000
0.9999158	0.1665677	0.3400000
0.9999052	0.1600987	0.3300000
0.9998928	0.1537629	0.3200000
0.9998784	0.1475751	0.3100000
0.9998615	0.1415497	0.3000000
0.9998416	0.1357007	0.2900000
0.9998179	0.1300415	0.2800000
0.9997896	0.1245846	0.2700000
0.9997556	0.1193420	0.2600000
0.9997145	0.1143245	0.2500000
0.9996643	0.1095421	0.2400000
0.9996026	0.1050037	0.2300000
0.9995261	0.1007171	0.2200000
0.9994303	0.0966890	0.2100000
0.9993091	0.0929253	0.2000000
0.9991540	0.0894309	0.1900000
0.9989530	0.0862103	0.1800000
0.9986890	0.0832678	0.1700000
0.9983370	0.0806085	0.1600000
0.9978599	0.0782391	0.1500000
0.9972081	0.0761763	0.1400000
0.9962841	0.0744227	0.1300000
0.9949559	0.0730180	0.1200000
0.9930492	0.0719947	0.1100000
0.9900703	0.0715114	0.1000000
0.9855267	0.0717143	0.0900000
0.9785068	0.0728871	0.0800000
0.9677578	0.0754846	0.0700000
0.9521221	0.0800647	0.0600000
0.9320623	0.0867956	0.0500000
0.9116037	0.0944912	0.0400000
0.8967796	0.1005604	0.0300000
0.8898732	0.1035029	0.0200000
0.8881262	0.1042418	0.0100000
0.8880010	0.1043032	0.0000000
