G6	G7	G8
0.9999730	0.4794854	1.0000000
0.9999976	0.4780499	0.9907794
0.9999986	0.4757647	0.9802997
0.9999986	0.4736101	0.9701948
0.9999986	0.4715868	0.9602598
0.9999986	0.4692566	0.9501403
0.9999985	0.4670621	0.9401683
0.9999984	0.4648056	0.9301964
0.9999984	0.4624853	0.9202244
0.9999983	0.4598572	0.9101089
0.9999982	0.4573696	0.9001210
0.9999982	0.4548109	0.8901331
0.9999981	0.4521789	0.8801452
0.9999980	0.4494716	0.8701573
0.9999979	0.4466869	0.8601694
0.9999978	0.4436002	0.8500782
0.9999977	0.4406330	0.8400834
0.9999976	0.4375810	0.8300886
0.9999975	0.4344418	0.8200938
0.9999973	0.4312132	0.8100990
0.9999972	0.4278931	0.8001042
0.9999971	0.4244791	0.7901094
0.9999969	0.4209690	0.7801146
0.9999967	0.4173606	0.7701198
0.9999966	0.4134432	0.7600538
0.9999964	0.4096172	0.7500561
0.9999962	0.4056859	0.7400583
0.9999960	0.4016473	0.7300606
0.9999957	0.3974993	0.7200628
0.9999955	0.3932402	0.7100651
0.9999952	0.3888681	0.7000673
0.9999950	0.3843815	0.6900695
0.9999947	0.3797789	0.6800718
0.9999943	0.3750591	0.6700740
0.9999940	0.3702209	0.6600763
0.9999936	0.3650815	0.6500338
0.9999932	0.3599946	0.6400348
0.9999928	0.3547874	0.6300357
0.9999923	0.3494596	0.6200367
0.9999918	0.3440118	0.6100377
0.9999912	0.3384445	0.6000386
0.9999906	0.3327589	0.5900396
0.9999899	0.3269564	0.5800406
0.9999892	0.3210391	0.5700415
0.9999884	0.3150094	0.5600425
0.9999876	0.3088704	0.5500434
0.9999866	0.3026256	0.5400444
0.9999856	0.2961401	0.5300195
0.9999845	0.2896919	0.5200199
0.9999832	0.2831524	0.5100204
0.9999818	0.2765279	0.5000208
0.9999803	0.2698251	0.4900212
0.9999786	0.2630516	0.4800216
0.9999768	0.2562158	0.4700220
0.9999747	0.2493267	0.4600224
0.9999724	0.2423940	0.4500229
0.9999698	0.2354282	0.4400233
0.9999669	0.2284405	0.4300237
0.9999637	0.2214427	0.4200241
0.9999600	0.2144473	0.4100245
0.9999559	0.2074675	0.4000249
0.9999513	0.2005168	0.3900253
0.9999460	0.1936093	0.3800258
0.9999398	0.1866704	0.3700113
0.9999329	0.1798927	0.3600114
0.9999250	0.1732026	0.3500116
0.9999158	0.1666155	0.3400118
0.9999052	0.1601464	0.3300120
0.9998929	0.1538103	0.3200122
0.9998785	0.1476221	0.3100123
0.9998616	0.1415961	0.3000125
0.9998417	0.1357464	0.2900127
0.9998180	0.1300863	0.2800129
0.9997898	0.1246285	0.2700131
0.9997558	0.1193847	0.2600132
0.9997147	0.1143660	0.2500134
0.9996646	0.1095821	0.2400136
0.9996030	0.1050421	0.2300138
0.9995265	0.1007538	0.2200139
0.9994309	0.0967238	0.2100141
0.9993098	0.0929580	0.2000143
0.9991549	0.0894614	0.1900145
0.9989541	0.0862383	0.1800147
0.9986905	0.0832931	0.1700148
0.9983390	0.0806306	0.1600150
0.9978626	0.0782576	0.1500152
0.9972165	0.0762137	0.1400357
0.9962960	0.0744491	0.1300361
0.9949733	0.0730299	0.1200366
0.9931031	0.0720070	0.1100859
0.9901098	0.0714738	0.1000374
0.9855556	0.0716651	0.0900163
0.9785276	0.0728399	0.0800071
0.9677723	0.0754444	0.0700031
0.9521313	0.0800338	0.0600013
0.9320734	0.0867535	0.0500014
0.9116139	0.0944462	0.0400014
0.8967861	0.1005260	0.0300014
0.8898798	0.1034588	0.0200032
0.8881321	0.1041850	0.0100076
0.8880022	0.1042880	0.0000033
