G6	G7	G8
0.9031525	0.4357521	0.8733969
0.7457444	0.4022274	0.8196627
0.7936906	0.3837831	0.8100061
0.8286064	0.4496770	0.8903912
0.8697936	0.4058250	0.7908663
0.8446809	0.4379375	0.7754950
0.8467793	0.3493720	0.7213433
0.7840111	0.4131691	0.7076517
0.8149315	0.4135394	0.7183252
0.8619086	0.3630078	0.8338070
0.9013868	0.3948268	0.8253501
1.0132753	0.3846632	0.7858484
0.8454553	0.3200677	0.6638439
0.8600927	0.3210831	0.6700166
0.8168150	0.3279080	0.7525543
0.8262336	0.3054196	0.7424196
0.8281797	0.4223737	0.5913672
0.9516163	0.3838100	0.6969950
0.8804305	0.4562407	0.7223831
0.7741791	0.4035524	0.7503310
0.9262654	0.2861126	0.6450446
0.8840173	0.3488640	0.7092474
0.7340415	0.3052167	0.7068023
0.8706069	0.3440917	0.6203325
0.7411052	0.2284786	0.6442941
0.8016539	0.3087663	0.6454138
0.6156180	0.3643896	0.6723248
0.8432623	0.2715621	0.5941091
0.7678816	0.4035441	0.6649555
0.8103202	0.3037113	0.6254334
0.8515583	0.3027386	0.6966248
0.8617222	0.2857982	0.6761787
0.7913566	0.3292735	0.5663381
0.7565286	0.3318188	0.7396734
0.9573829	0.3071760	0.5710836
0.8740167	0.2578000	0.5005731
0.7918139	0.2986282	0.6058393
0.8586611	0.3284799	0.4885383
0.7440807	0.3065394	0.5054445
0.9482234	0.3009718	0.6302706
0.8170413	0.2243424	0.4539114
0.7740550	0.3105836	0.5412046
0.8572225	0.2472023	0.4720537
0.8731858	0.2795156	0.5447084
0.8439467	0.2269220	0.5329158
0.8810059	0.2560037	0.3944936
0.8816764	0.2160219	0.4420590
0.7562966	0.2703132	0.3851782
0.8958596	0.2127153	0.4362936
0.8076704	0.2240601	0.4587817
0.8019939	0.2518999	0.3968137
0.9275642	0.2896732	0.4020451
0.7824643	0.2261638	0.4582341
0.9069467	0.2275455	0.3372053
0.8355761	0.1658009	0.4618239
0.7479037	0.2569367	0.3233780
0.9060234	0.1864254	0.4227938
0.8306348	0.1873770	0.3719972
0.9543890	0.1524776	0.3676821
0.9705602	0.1851837	0.3310377
0.9108420	0.1524373	0.3912128
0.9086470	0.1620006	0.3460824
0.9651351	0.1715978	0.3730377
0.8199797	0.2097563	0.3200872
0.7753151	0.1361654	0.3140591
0.9487706	0.1522333	0.3085733
0.9070755	0.1181570	0.3323191
0.8223301	0.1100421	0.2822196
0.8138684	0.1172366	0.3146797
0.6058721	0.1445415	0.2068842
0.7323351	0.1532751	0.3030360
0.7700913	0.1190007	0.3049015
0.7587283	0.1148610	0.2381174
0.9284958	0.1193685	0.1936279
0.6612937	0.0613789	0.2445454
0.8726488	0.1238703	0.2038315
0.7711979	0.0655383	0.1870074
0.7768530	0.0898759	0.2026720
0.7399911	0.0681416	0.1679379
0.8290103	0.0626195	0.1625265
0.8202035	0.0981814	0.1363526
0.8252062	0.0535998	0.1739391
0.7720024	0.0615649	0.1392223
0.8273084	0.0498214	0.1424502
1.0234831	0.0950295	0.0999756
0.8882466	0.0620111	0.0931830
0.7536129	0.0698990	0.1176556
0.7995754	0.0788323	0.1277718
0.7355695	0.0525520	0.0927961
1.0033386	0.0875044	0.0892636
0.7442315	0.0545912	0.0716229
0.9065888	0.0545858	0.1690760
0.8325311	0.0567187	0.1136208
0.8345219	0.0806038	0.0833992
0.8202514	0.0996353	0.0323888
0.7354545	0.0914213	0.0415977
0.7994494	0.1077041	0.0408079
0.7028502	0.0549263	0.0057970
0.7417411	0.1471913	0.0068609
0.7213773	0.0580515	0.0174511
0.8196058	0.1616654	0.0000015
